,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,192.1,205.0,196.8,187.4,4.7,0,,,,,
1,0,2,16.0,16.0,20.7,11.3,4.7,0,,,,,
2,0,3,34.0,34.0,38.7,29.3,4.7,0,,,,,
3,0,4,17.6,22.0,22.3,12.9,4.7,0,,,,,
4,0,5,18.8,23.0,23.5,14.1,4.7,0,,,,,
5,1,1,15.4,16.0,20.1,10.7,4.7,0,,,,,
6,1,2,26.7,29.0,31.4,22.0,4.7,0,,,,,
7,1,3,56.1,62.0,60.8,51.3,4.7,0,,,,,
8,1,4,41.8,43.0,46.5,37.1,4.7,0,,,,,
9,1,5,20.3,24.0,25.1,15.6,4.7,0,,,,,
10,2,1,15.7,8.0,20.5,11.0,4.7,0,,,,,
11,2,2,8.5,17.0,13.2,3.8,4.7,0,,,,,
12,2,3,62.7,61.0,67.4,58.0,4.7,0,,,,,
13,2,4,38.5,38.0,43.2,33.8,4.7,0,,,,,
14,2,5,25.3,20.0,30.0,20.6,4.7,0,,,,,
15,3,1,15.3,15.0,20.0,10.6,4.7,0,,,,,
16,3,2,17.7,16.0,22.4,13.0,4.7,0,,,,,
17,3,3,100.1,101.0,104.9,95.4,4.7,0,,,,,
18,3,4,72.6,71.0,77.4,67.9,4.7,0,,,,,
19,3,5,34.5,31.0,39.2,29.8,4.7,0,,,,,
20,4,1,19.1,12.0,23.8,14.4,4.7,0,,,,,
21,4,2,18.1,15.0,22.8,13.4,4.7,0,,,,,
22,4,3,55.3,44.0,60.1,50.6,4.7,0,,,,,
23,4,4,44.4,48.0,49.1,39.7,4.7,0,,,,,
24,4,5,29.1,29.0,33.9,24.4,4.7,0,,,,,
25,0,1,201.3,205.0,203.7,199.0,2.4,1,192.1,205.0,187.4,196.8,4.7
26,0,2,17.2,16.0,19.6,14.9,2.4,1,16.0,16.0,11.3,20.7,4.7
27,0,3,33.4,34.0,35.7,31.0,2.4,1,34.0,34.0,29.3,38.7,4.7
28,0,4,19.7,22.0,22.0,17.3,2.4,1,17.6,22.0,12.9,22.3,4.7
29,0,5,21.3,23.0,23.7,19.0,2.4,1,18.8,23.0,14.1,23.5,4.7
30,1,1,15.6,16.0,18.0,13.3,2.4,1,15.4,16.0,10.7,20.1,4.7
31,1,2,27.6,29.0,30.0,25.2,2.4,1,26.7,29.0,22.0,31.4,4.7
32,1,3,61.3,62.0,63.6,58.9,2.4,1,56.1,62.0,51.3,60.8,4.7
33,1,4,40.7,43.0,43.1,38.4,2.4,1,41.8,43.0,37.1,46.5,4.7
34,1,5,23.0,24.0,25.3,20.6,2.4,1,20.3,24.0,15.6,25.1,4.7
35,2,1,15.0,8.0,17.4,12.7,2.4,1,15.7,8.0,11.0,20.5,4.7
36,2,2,8.5,17.0,10.9,6.1,2.4,1,8.5,17.0,3.8,13.2,4.7
37,2,3,62.4,61.0,64.8,60.1,2.4,1,62.7,61.0,58.0,67.4,4.7
38,2,4,38.8,38.0,41.2,36.4,2.4,1,38.5,38.0,33.8,43.2,4.7
39,2,5,22.5,20.0,24.9,20.2,2.4,1,25.3,20.0,20.6,30.0,4.7
40,3,1,10.9,15.0,13.3,8.5,2.4,1,15.3,15.0,10.6,20.0,4.7
41,3,2,15.1,16.0,17.4,12.7,2.4,1,17.7,16.0,13.0,22.4,4.7
42,3,3,102.1,101.0,104.4,99.7,2.4,1,100.1,101.0,95.4,104.9,4.7
43,3,4,69.9,71.0,72.3,67.6,2.4,1,72.6,71.0,67.9,77.4,4.7
44,3,5,30.6,31.0,33.0,28.3,2.4,1,34.5,31.0,29.8,39.2,4.7
45,4,1,15.5,12.0,17.9,13.1,2.4,1,19.1,12.0,14.4,23.8,4.7
46,4,2,17.4,15.0,19.8,15.0,2.4,1,18.1,15.0,13.4,22.8,4.7
47,4,3,51.2,44.0,53.6,48.9,2.4,1,55.3,44.0,50.6,60.1,4.7
48,4,4,45.2,48.0,47.5,42.8,2.4,1,44.4,48.0,39.7,49.1,4.7
49,4,5,31.9,29.0,34.3,29.6,2.4,1,29.1,29.0,24.4,33.9,4.7
50,0,1,201.6,205.0,203.2,200.0,1.6,2,201.3,205.0,199.0,203.7,2.4
51,0,2,15.9,16.0,17.5,14.3,1.6,2,17.2,16.0,14.9,19.6,2.4
52,0,3,32.7,34.0,34.3,31.2,1.6,2,33.4,34.0,31.0,35.7,2.4
53,0,4,21.1,22.0,22.7,19.6,1.6,2,19.7,22.0,17.3,22.0,2.4
54,0,5,21.7,23.0,23.2,20.1,1.6,2,21.3,23.0,19.0,23.7,2.4
55,1,1,15.7,16.0,17.3,14.2,1.6,2,15.6,16.0,13.3,18.0,2.4
56,1,2,27.9,29.0,29.5,26.3,1.6,2,27.6,29.0,25.2,30.0,2.4
57,1,3,62.2,62.0,63.8,60.7,1.6,2,61.3,62.0,58.9,63.6,2.4
58,1,4,41.6,43.0,43.2,40.1,1.6,2,40.7,43.0,38.4,43.1,2.4
59,1,5,22.7,24.0,24.3,21.2,1.6,2,23.0,24.0,20.6,25.3,2.4
60,2,1,11.8,8.0,13.4,10.2,1.6,2,15.0,8.0,12.7,17.4,2.4
61,2,2,9.9,17.0,11.5,8.3,1.6,2,8.5,17.0,6.1,10.9,2.4
62,2,3,62.2,61.0,63.8,60.7,1.6,2,62.4,61.0,60.1,64.8,2.4
63,2,4,38.5,38.0,40.1,36.9,1.6,2,38.8,38.0,36.4,41.2,2.4
64,2,5,20.6,20.0,22.1,19.0,1.6,2,22.5,20.0,20.2,24.9,2.4
65,3,1,12.4,15.0,13.9,10.8,1.6,2,10.9,15.0,8.5,13.3,2.4
66,3,2,14.8,16.0,16.3,13.2,1.6,2,15.1,16.0,12.7,17.4,2.4
67,3,3,99.9,101.0,101.5,98.4,1.6,2,102.1,101.0,99.7,104.4,2.4
68,3,4,70.3,71.0,71.8,68.7,1.6,2,69.9,71.0,67.6,72.3,2.4
69,3,5,31.1,31.0,32.7,29.5,1.6,2,30.6,31.0,28.3,33.0,2.4
