,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,154.6,160.0,159.3,149.8,4.7,0,,,,,
1,Emergency,3-4,180.5,178.0,185.2,175.7,4.7,0,,,,,
2,Emergency,5-6,90.6,93.0,95.4,85.9,4.7,0,,,,,
3,Emergency,7-8,41.7,46.0,46.4,37.0,4.7,0,,,,,
4,Emergency,9-10,30.6,32.0,35.3,25.9,4.7,0,,,,,
5,Emergency,11-12,18.0,24.0,22.7,13.3,4.7,0,,,,,
6,Emergency,13-14,10.4,9.0,15.1,5.7,4.7,0,,,,,
7,Urgent,1-2,64.2,53.0,68.9,59.5,4.7,0,,,,,
8,Urgent,3-4,71.1,70.0,75.8,66.3,4.7,0,,,,,
9,Urgent,5-6,34.2,37.0,38.9,29.5,4.7,0,,,,,
10,Urgent,7-8,24.3,24.0,29.1,19.6,4.7,0,,,,,
11,Urgent,9-10,13.3,13.0,18.0,8.6,4.7,0,,,,,
12,Urgent,11-12,7.5,10.0,12.2,2.8,4.7,0,,,,,
13,Urgent,13-14,-2.9,2.0,1.8,-7.7,4.7,0,,,,,
14,Elective,1-2,68.0,72.0,72.7,63.3,4.7,0,,,,,
15,Elective,3-4,54.2,54.0,58.9,49.5,4.7,0,,,,,
16,Elective,5-6,28.1,29.0,32.9,23.4,4.7,0,,,,,
17,Elective,7-8,19.6,18.0,24.3,14.9,4.7,0,,,,,
18,Elective,9-10,16.0,17.0,20.7,11.3,4.7,0,,,,,
19,Elective,11-12,12.4,5.0,17.1,7.7,4.7,0,,,,,
20,Elective,13-14,7.7,5.0,12.4,3.0,4.7,0,,,,,
21,Newborn,1-2,0.9,0.0,5.6,-3.8,4.7,0,,,,,
22,Newborn,3-4,1.1,0.0,5.8,-3.6,4.7,0,,,,,
23,Newborn,5-6,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
24,Newborn,7-8,2.3,0.0,7.0,-2.4,4.7,0,,,,,
25,Newborn,9-10,-1.9,0.0,2.9,-6.6,4.7,0,,,,,
26,Newborn,11-12,1.8,0.0,6.5,-2.9,4.7,0,,,,,
27,Newborn,13-14,-6.8,0.0,-2.1,-11.5,4.7,0,,,,,
28,Not Available,1-2,19.4,19.0,24.1,14.7,4.7,0,,,,,
29,Not Available,3-4,13.4,13.0,18.1,8.7,4.7,0,,,,,
30,Not Available,5-6,3.8,5.0,8.5,-0.9,4.7,0,,,,,
31,Not Available,7-8,0.5,4.0,5.2,-4.3,4.7,0,,,,,
32,Not Available,9-10,1.3,1.0,6.0,-3.4,4.7,0,,,,,
