,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,16.7,23.0,21.4,12.0,4.7,0,,,,,
1,Strongly disagree,Instructor 2,18.7,16.0,23.4,14.0,4.7,0,,,,,
2,Strongly disagree,Instructor 3,25.6,26.0,30.3,20.8,4.7,0,,,,,
3,Disagree,Instructor 1,45.0,43.0,49.7,40.3,4.7,0,,,,,
4,Disagree,Instructor 2,51.4,41.0,56.1,46.7,4.7,0,,,,,
5,Disagree,Instructor 3,26.0,26.0,30.7,21.3,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,16.5,23.0,21.3,11.8,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,56.9,59.0,61.6,52.2,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,91.0,91.0,95.7,86.3,4.7,0,,,,,
9,Agree,Instructor 1,52.5,51.0,57.2,47.8,4.7,0,,,,,
10,Agree,Instructor 2,85.1,86.0,89.8,80.4,4.7,0,,,,,
11,Agree,Instructor 3,60.2,67.0,65.0,55.5,4.7,0,,,,,
12,Strongly agree,Instructor 1,207.2,209.0,211.9,202.4,4.7,0,,,,,
13,Strongly agree,Instructor 2,164.7,159.0,169.4,160.0,4.7,0,,,,,
14,Strongly agree,Instructor 3,77.2,80.0,81.9,72.4,4.7,0,,,,,
15,Strongly disagree,Instructor 1,22.7,23.0,25.1,20.4,2.4,1,16.7,23.0,12.0,21.4,4.7
16,Strongly disagree,Instructor 2,15.2,16.0,17.5,12.8,2.4,1,18.7,16.0,14.0,23.4,4.7
17,Strongly disagree,Instructor 3,25.9,26.0,28.2,23.5,2.4,1,25.6,26.0,20.8,30.3,4.7
18,Disagree,Instructor 1,45.1,43.0,47.5,42.8,2.4,1,45.0,43.0,40.3,49.7,4.7
19,Disagree,Instructor 2,46.9,41.0,49.2,44.5,2.4,1,51.4,41.0,46.7,56.1,4.7
20,Disagree,Instructor 3,24.5,26.0,26.9,22.2,2.4,1,26.0,26.0,21.3,30.7,4.7
