,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,12.6,18.0,17.3,7.8,4.7,0,,,,,
1,Strongly disagree,Instructor 2,15.5,13.0,20.2,10.7,4.7,0,,,,,
2,Strongly disagree,Instructor 3,33.6,36.0,38.4,28.9,4.7,0,,,,,
3,Disagree,Instructor 1,32.7,37.0,37.4,28.0,4.7,0,,,,,
4,Disagree,Instructor 2,29.6,31.0,34.3,24.9,4.7,0,,,,,
5,Disagree,Instructor 3,19.4,18.0,24.1,14.7,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,22.2,19.0,26.9,17.5,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,64.2,53.0,68.9,59.5,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,90.1,89.0,94.8,85.3,4.7,0,,,,,
9,Agree,Instructor 1,41.2,44.0,45.9,36.5,4.7,0,,,,,
10,Agree,Instructor 2,105.3,105.0,110.0,100.6,4.7,0,,,,,
11,Agree,Instructor 3,88.5,91.0,93.2,83.8,4.7,0,,,,,
12,Strongly agree,Instructor 1,182.1,187.0,186.8,177.3,4.7,0,,,,,
13,Strongly agree,Instructor 2,173.0,173.0,177.7,168.3,4.7,0,,,,,
14,Strongly agree,Instructor 3,82.0,86.0,86.7,77.3,4.7,0,,,,,
15,Strongly disagree,Instructor 1,15.7,18.0,18.1,13.4,2.4,1,12.6,18.0,7.8,17.3,4.7
16,Strongly disagree,Instructor 2,14.8,13.0,17.2,12.4,2.4,1,15.5,13.0,10.7,20.2,4.7
17,Strongly disagree,Instructor 3,33.8,36.0,36.1,31.4,2.4,1,33.6,36.0,28.9,38.4,4.7
18,Disagree,Instructor 1,36.0,37.0,38.4,33.7,2.4,1,32.7,37.0,28.0,37.4,4.7
19,Disagree,Instructor 2,29.4,31.0,31.7,27.0,2.4,1,29.6,31.0,24.9,34.3,4.7
20,Disagree,Instructor 3,15.3,18.0,17.7,12.9,2.4,1,19.4,18.0,14.7,24.1,4.7
21,Neither agree nor disagree,Instructor 1,21.4,19.0,23.7,19.0,2.4,1,22.2,19.0,17.5,26.9,4.7
22,Neither agree nor disagree,Instructor 2,58.8,53.0,61.2,56.4,2.4,1,64.2,53.0,59.5,68.9,4.7
23,Neither agree nor disagree,Instructor 3,89.7,89.0,92.1,87.4,2.4,1,90.1,89.0,85.3,94.8,4.7
24,Agree,Instructor 1,42.0,44.0,44.3,39.6,2.4,1,41.2,44.0,36.5,45.9,4.7
25,Agree,Instructor 2,105.3,105.0,107.7,102.9,2.4,1,105.3,105.0,100.6,110.0,4.7
26,Agree,Instructor 3,86.0,91.0,88.3,83.6,2.4,1,88.5,91.0,83.8,93.2,4.7
27,Strongly agree,Instructor 1,186.3,187.0,188.6,183.9,2.4,1,182.1,187.0,177.3,186.8,4.7
28,Strongly agree,Instructor 2,173.9,173.0,176.3,171.6,2.4,1,173.0,173.0,168.3,177.7,4.7
29,Strongly agree,Instructor 3,80.0,86.0,82.3,77.6,2.4,1,82.0,86.0,77.3,86.7,4.7
30,Strongly disagree,Instructor 1,16.4,18.0,17.9,14.8,1.6,2,15.7,18.0,13.4,18.1,2.4
31,Strongly disagree,Instructor 2,17.4,13.0,18.9,15.8,1.6,2,14.8,13.0,12.4,17.2,2.4
32,Strongly disagree,Instructor 3,33.1,36.0,34.6,31.5,1.6,2,33.8,36.0,31.4,36.1,2.4
33,Disagree,Instructor 1,37.0,37.0,38.5,35.4,1.6,2,36.0,37.0,33.7,38.4,2.4
34,Disagree,Instructor 2,32.0,31.0,33.5,30.4,1.6,2,29.4,31.0,27.0,31.7,2.4
35,Disagree,Instructor 3,18.5,18.0,20.1,16.9,1.6,2,15.3,18.0,12.9,17.7,2.4
36,Neither agree nor disagree,Instructor 1,21.1,19.0,22.6,19.5,1.6,2,21.4,19.0,19.0,23.7,2.4
37,Neither agree nor disagree,Instructor 2,59.2,53.0,60.8,57.6,1.6,2,58.8,53.0,56.4,61.2,2.4
38,Neither agree nor disagree,Instructor 3,89.5,89.0,91.1,88.0,1.6,2,89.7,89.0,87.4,92.1,2.4
39,Agree,Instructor 1,42.5,44.0,44.1,41.0,1.6,2,42.0,44.0,39.6,44.3,2.4
40,Agree,Instructor 2,106.6,105.0,108.2,105.0,1.6,2,105.3,105.0,102.9,107.7,2.4
41,Agree,Instructor 3,86.5,91.0,88.1,84.9,1.6,2,86.0,91.0,83.6,88.3,2.4
42,Strongly agree,Instructor 1,187.2,187.0,188.8,185.6,1.6,2,186.3,187.0,183.9,188.6,2.4
43,Strongly agree,Instructor 2,176.6,173.0,178.2,175.1,1.6,2,173.9,173.0,171.6,176.3,2.4
44,Strongly agree,Instructor 3,83.8,86.0,85.3,82.2,1.6,2,80.0,86.0,77.6,82.3,2.4
45,Strongly disagree,Instructor 1,15.6,18.0,16.8,14.5,1.2,3,16.4,18.0,14.8,17.9,1.6
46,Strongly disagree,Instructor 2,15.4,13.0,16.6,14.3,1.2,3,17.4,13.0,15.8,18.9,1.6
47,Strongly disagree,Instructor 3,38.2,36.0,39.4,37.0,1.2,3,33.1,36.0,31.5,34.6,1.6
48,Disagree,Instructor 1,36.5,37.0,37.6,35.3,1.2,3,37.0,37.0,35.4,38.5,1.6
49,Disagree,Instructor 2,32.9,31.0,34.1,31.7,1.2,3,32.0,31.0,30.4,33.5,1.6
50,Disagree,Instructor 3,20.3,18.0,21.5,19.1,1.2,3,18.5,18.0,16.9,20.1,1.6
51,Neither agree nor disagree,Instructor 1,20.4,19.0,21.5,19.2,1.2,3,21.1,19.0,19.5,22.6,1.6
52,Neither agree nor disagree,Instructor 2,58.0,53.0,59.1,56.8,1.2,3,59.2,53.0,57.6,60.8,1.6
53,Neither agree nor disagree,Instructor 3,89.9,89.0,91.0,88.7,1.2,3,89.5,89.0,88.0,91.1,1.6
54,Agree,Instructor 1,42.7,44.0,43.9,41.5,1.2,3,42.5,44.0,41.0,44.1,1.6
55,Agree,Instructor 2,104.4,105.0,105.5,103.2,1.2,3,106.6,105.0,105.0,108.2,1.6
56,Agree,Instructor 3,87.6,91.0,88.8,86.5,1.2,3,86.5,91.0,84.9,88.1,1.6
57,Strongly agree,Instructor 1,186.6,187.0,187.8,185.4,1.2,3,187.2,187.0,185.6,188.8,1.6
58,Strongly agree,Instructor 2,175.4,173.0,176.6,174.3,1.2,3,176.6,173.0,175.1,178.2,1.6
59,Strongly agree,Instructor 3,84.9,86.0,86.0,83.7,1.2,3,83.8,86.0,82.2,85.3,1.6
60,Strongly disagree,Instructor 1,15.8,18.0,16.7,14.8,0.9,4,15.6,18.0,14.5,16.8,1.2
61,Strongly disagree,Instructor 2,14.8,13.0,15.7,13.8,0.9,4,15.4,13.0,14.3,16.6,1.2
62,Strongly disagree,Instructor 3,38.5,36.0,39.4,37.6,0.9,4,38.2,36.0,37.0,39.4,1.2
63,Disagree,Instructor 1,35.4,37.0,36.3,34.4,0.9,4,36.5,37.0,35.3,37.6,1.2
64,Disagree,Instructor 2,33.2,31.0,34.1,32.3,0.9,4,32.9,31.0,31.7,34.1,1.2
65,Disagree,Instructor 3,19.5,18.0,20.5,18.6,0.9,4,20.3,18.0,19.1,21.5,1.2
66,Neither agree nor disagree,Instructor 1,20.4,19.0,21.3,19.4,0.9,4,20.4,19.0,19.2,21.5,1.2
67,Neither agree nor disagree,Instructor 2,59.2,53.0,60.2,58.3,0.9,4,58.0,53.0,56.8,59.1,1.2
68,Neither agree nor disagree,Instructor 3,91.4,89.0,92.3,90.4,0.9,4,89.9,89.0,88.7,91.0,1.2
69,Agree,Instructor 1,43.3,44.0,44.2,42.3,0.9,4,42.7,44.0,41.5,43.9,1.2
70,Agree,Instructor 2,104.2,105.0,105.2,103.3,0.9,4,104.4,105.0,103.2,105.5,1.2
71,Agree,Instructor 3,88.5,91.0,89.5,87.6,0.9,4,87.6,91.0,86.5,88.8,1.2
72,Strongly agree,Instructor 1,186.0,187.0,187.0,185.1,0.9,4,186.6,187.0,185.4,187.8,1.2
73,Strongly agree,Instructor 2,174.7,173.0,175.6,173.8,0.9,4,175.4,173.0,174.3,176.6,1.2
74,Strongly agree,Instructor 3,87.4,86.0,88.4,86.5,0.9,4,84.9,86.0,83.7,86.0,1.2
75,Strongly disagree,Instructor 1,16.8,18.0,17.6,16.1,0.8,5,15.8,18.0,14.8,16.7,0.9
76,Strongly disagree,Instructor 2,15.0,13.0,15.8,14.2,0.8,5,14.8,13.0,13.8,15.7,0.9
77,Strongly disagree,Instructor 3,38.1,36.0,38.8,37.3,0.8,5,38.5,36.0,37.6,39.4,0.9
78,Disagree,Instructor 1,34.7,37.0,35.5,33.9,0.8,5,35.4,37.0,34.4,36.3,0.9
79,Disagree,Instructor 2,32.6,31.0,33.4,31.8,0.8,5,33.2,31.0,32.3,34.1,0.9
80,Disagree,Instructor 3,19.4,18.0,20.2,18.6,0.8,5,19.5,18.0,18.6,20.5,0.9
81,Neither agree nor disagree,Instructor 1,19.8,19.0,20.6,19.0,0.8,5,20.4,19.0,19.4,21.3,0.9
82,Neither agree nor disagree,Instructor 2,57.0,53.0,57.8,56.2,0.8,5,59.2,53.0,58.3,60.2,0.9
83,Neither agree nor disagree,Instructor 3,91.9,89.0,92.7,91.1,0.8,5,91.4,89.0,90.4,92.3,0.9
84,Agree,Instructor 1,43.1,44.0,43.9,42.3,0.8,5,43.3,44.0,42.3,44.2,0.9
85,Agree,Instructor 2,103.2,105.0,103.9,102.4,0.8,5,104.2,105.0,103.3,105.2,0.9
86,Agree,Instructor 3,87.3,91.0,88.1,86.6,0.8,5,88.5,91.0,87.6,89.5,0.9
87,Strongly agree,Instructor 1,185.4,187.0,186.2,184.6,0.8,5,186.0,187.0,185.1,187.0,0.9
88,Strongly agree,Instructor 2,173.5,173.0,174.3,172.7,0.8,5,174.7,173.0,173.8,175.6,0.9
89,Strongly agree,Instructor 3,86.6,86.0,87.3,85.8,0.8,5,87.4,86.0,86.5,88.4,0.9
90,Strongly disagree,Instructor 1,17.1,18.0,17.8,16.4,0.7,6,16.8,18.0,16.1,17.6,0.8
91,Strongly disagree,Instructor 2,14.5,13.0,15.1,13.8,0.7,6,15.0,13.0,14.2,15.8,0.8
