,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,76.6,72.0,81.3,71.9,4.7,0,,,,,
1,Strongly disagree,2,20.2,11.0,24.9,15.5,4.7,0,,,,,
2,Strongly disagree,3,25.5,21.0,30.2,20.8,4.7,0,,,,,
3,Strongly disagree,4,17.2,17.0,21.9,12.5,4.7,0,,,,,
4,Strongly disagree,5,26.5,29.0,31.2,21.7,4.7,0,,,,,
5,Disagree,1,26.5,27.0,31.2,21.8,4.7,0,,,,,
6,Disagree,2,5.3,6.0,10.0,0.6,4.7,0,,,,,
7,Disagree,3,26.2,26.0,30.9,21.4,4.7,0,,,,,
8,Disagree,4,15.9,16.0,20.6,11.1,4.7,0,,,,,
9,Disagree,5,14.4,14.0,19.1,9.7,4.7,0,,,,,
10,Neither agree nor disagree,1,85.5,83.0,90.2,80.7,4.7,0,,,,,
11,Neither agree nor disagree,2,28.8,27.0,33.6,24.1,4.7,0,,,,,
12,Neither agree nor disagree,3,76.9,76.0,81.6,72.2,4.7,0,,,,,
13,Neither agree nor disagree,4,53.5,54.0,58.2,48.8,4.7,0,,,,,
14,Neither agree nor disagree,5,38.2,40.0,42.9,33.5,4.7,0,,,,,
15,Agree,1,57.7,59.0,62.4,52.9,4.7,0,,,,,
16,Agree,2,30.2,33.0,35.0,25.5,4.7,0,,,,,
17,Agree,3,105.2,112.0,110.0,100.5,4.7,0,,,,,
18,Agree,4,74.2,63.0,79.0,69.5,4.7,0,,,,,
19,Agree,5,23.5,28.0,28.2,18.7,4.7,0,,,,,
20,Strongly agree,1,38.5,45.0,43.2,33.8,4.7,0,,,,,
21,Strongly agree,2,18.3,21.0,23.0,13.6,4.7,0,,,,,
22,Strongly agree,3,57.2,58.0,61.9,52.5,4.7,0,,,,,
23,Strongly agree,4,45.2,40.0,50.0,40.5,4.7,0,,,,,
24,Strongly agree,5,20.8,22.0,25.5,16.1,4.7,0,,,,,
25,Strongly disagree,1,74.0,72.0,76.4,71.7,2.4,1,76.6,72.0,71.9,81.3,4.7
26,Strongly disagree,2,14.6,11.0,16.9,12.2,2.4,1,20.2,11.0,15.5,24.9,4.7
27,Strongly disagree,3,24.8,21.0,27.1,22.4,2.4,1,25.5,21.0,20.8,30.2,4.7
28,Strongly disagree,4,17.6,17.0,20.0,15.3,2.4,1,17.2,17.0,12.5,21.9,4.7
29,Strongly disagree,5,24.4,29.0,26.8,22.1,2.4,1,26.5,29.0,21.7,31.2,4.7
30,Disagree,1,28.2,27.0,30.6,25.9,2.4,1,26.5,27.0,21.8,31.2,4.7
31,Disagree,2,1.1,6.0,3.4,-1.3,2.4,1,5.3,6.0,0.6,10.0,4.7
32,Disagree,3,25.9,26.0,28.3,23.6,2.4,1,26.2,26.0,21.4,30.9,4.7
33,Disagree,4,17.4,16.0,19.7,15.0,2.4,1,15.9,16.0,11.1,20.6,4.7
34,Disagree,5,20.5,14.0,22.9,18.1,2.4,1,14.4,14.0,9.7,19.1,4.7
35,Neither agree nor disagree,1,80.0,83.0,82.3,77.6,2.4,1,85.5,83.0,80.7,90.2,4.7
36,Neither agree nor disagree,2,27.7,27.0,30.1,25.4,2.4,1,28.8,27.0,24.1,33.6,4.7
37,Neither agree nor disagree,3,74.8,76.0,77.2,72.5,2.4,1,76.9,76.0,72.2,81.6,4.7
38,Neither agree nor disagree,4,54.2,54.0,56.6,51.9,2.4,1,53.5,54.0,48.8,58.2,4.7
39,Neither agree nor disagree,5,37.7,40.0,40.0,35.3,2.4,1,38.2,40.0,33.5,42.9,4.7
40,Agree,1,58.5,59.0,60.8,56.1,2.4,1,57.7,59.0,52.9,62.4,4.7
41,Agree,2,28.9,33.0,31.3,26.6,2.4,1,30.2,33.0,25.5,35.0,4.7
42,Agree,3,109.7,112.0,112.0,107.3,2.4,1,105.2,112.0,100.5,110.0,4.7
43,Agree,4,72.1,63.0,74.5,69.8,2.4,1,74.2,63.0,69.5,79.0,4.7
44,Agree,5,29.4,28.0,31.7,27.0,2.4,1,23.5,28.0,18.7,28.2,4.7
45,Strongly agree,1,42.1,45.0,44.5,39.7,2.4,1,38.5,45.0,33.8,43.2,4.7
46,Strongly agree,2,20.3,21.0,22.7,18.0,2.4,1,18.3,21.0,13.6,23.0,4.7
47,Strongly agree,3,57.6,58.0,60.0,55.3,2.4,1,57.2,58.0,52.5,61.9,4.7
48,Strongly agree,4,42.5,40.0,44.9,40.2,2.4,1,45.2,40.0,40.5,50.0,4.7
49,Strongly agree,5,14.7,22.0,17.0,12.3,2.4,1,20.8,22.0,16.1,25.5,4.7
50,Strongly disagree,1,72.8,72.0,74.4,71.2,1.6,2,74.0,72.0,71.7,76.4,2.4
51,Strongly disagree,2,13.2,11.0,14.7,11.6,1.6,2,14.6,11.0,12.2,16.9,2.4
52,Strongly disagree,3,24.7,21.0,26.2,23.1,1.6,2,24.8,21.0,22.4,27.1,2.4
53,Strongly disagree,4,17.6,17.0,19.2,16.1,1.6,2,17.6,17.0,15.3,20.0,2.4
54,Strongly disagree,5,26.5,29.0,28.1,25.0,1.6,2,24.4,29.0,22.1,26.8,2.4
55,Disagree,1,29.0,27.0,30.6,27.5,1.6,2,28.2,27.0,25.9,30.6,2.4
