,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,220.6,220.0,225.4,215.9,4.7,0,,,,,
1,0,2,22.3,17.0,27.0,17.6,4.7,0,,,,,
2,0,3,48.1,43.0,52.8,43.4,4.7,0,,,,,
3,0,4,28.3,25.0,33.0,23.6,4.7,0,,,,,
4,0,5,11.2,20.0,15.9,6.5,4.7,0,,,,,
5,1,1,18.1,19.0,22.8,13.4,4.7,0,,,,,
6,1,2,32.1,32.0,36.8,27.4,4.7,0,,,,,
7,1,3,61.3,60.0,66.0,56.6,4.7,0,,,,,
8,1,4,34.8,38.0,39.6,30.1,4.7,0,,,,,
9,1,5,18.0,20.0,22.7,13.3,4.7,0,,,,,
10,2,1,10.8,8.0,15.5,6.1,4.7,0,,,,,
11,2,2,13.0,9.0,17.7,8.3,4.7,0,,,,,
12,2,3,59.7,57.0,64.4,55.0,4.7,0,,,,,
13,2,4,20.3,29.0,25.0,15.6,4.7,0,,,,,
14,2,5,17.1,22.0,21.9,12.4,4.7,0,,,,,
15,3,1,21.5,24.0,26.3,16.8,4.7,0,,,,,
16,3,2,19.8,22.0,24.5,15.0,4.7,0,,,,,
17,3,3,85.2,81.0,89.9,80.5,4.7,0,,,,,
18,3,4,76.7,69.0,81.4,71.9,4.7,0,,,,,
19,3,5,39.4,39.0,44.2,34.7,4.7,0,,,,,
20,4,1,17.6,15.0,22.3,12.9,4.7,0,,,,,
21,4,2,17.9,18.0,22.7,13.2,4.7,0,,,,,
22,4,3,53.0,52.0,57.7,48.3,4.7,0,,,,,
23,4,4,32.8,29.0,37.5,28.1,4.7,0,,,,,
24,4,5,31.7,32.0,36.4,27.0,4.7,0,,,,,
25,0,1,219.6,220.0,222.0,217.3,2.4,1,220.6,220.0,215.9,225.4,4.7
26,0,2,19.7,17.0,22.0,17.3,2.4,1,22.3,17.0,17.6,27.0,4.7
27,0,3,44.5,43.0,46.8,42.1,2.4,1,48.1,43.0,43.4,52.8,4.7
28,0,4,25.9,25.0,28.2,23.5,2.4,1,28.3,25.0,23.6,33.0,4.7
29,0,5,16.1,20.0,18.5,13.7,2.4,1,11.2,20.0,6.5,15.9,4.7
30,1,1,17.8,19.0,20.1,15.4,2.4,1,18.1,19.0,13.4,22.8,4.7
31,1,2,31.7,32.0,34.0,29.3,2.4,1,32.1,32.0,27.4,36.8,4.7
32,1,3,59.5,60.0,61.9,57.2,2.4,1,61.3,60.0,56.6,66.0,4.7
33,1,4,36.7,38.0,39.1,34.4,2.4,1,34.8,38.0,30.1,39.6,4.7
34,1,5,17.1,20.0,19.5,14.7,2.4,1,18.0,20.0,13.3,22.7,4.7
35,2,1,11.1,8.0,13.5,8.8,2.4,1,10.8,8.0,6.1,15.5,4.7
36,2,2,9.1,9.0,11.4,6.7,2.4,1,13.0,9.0,8.3,17.7,4.7
37,2,3,59.4,57.0,61.7,57.0,2.4,1,59.7,57.0,55.0,64.4,4.7
38,2,4,24.3,29.0,26.7,22.0,2.4,1,20.3,29.0,15.6,25.0,4.7
39,2,5,20.9,22.0,23.3,18.6,2.4,1,17.1,22.0,12.4,21.9,4.7
40,3,1,24.2,24.0,26.5,21.8,2.4,1,21.5,24.0,16.8,26.3,4.7
41,3,2,21.2,22.0,23.6,18.9,2.4,1,19.8,22.0,15.0,24.5,4.7
