,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,56.2,64.0,61.0,51.5,4.7,0,,,,,
1,Strongly disagree,2,9.2,11.0,13.9,4.5,4.7,0,,,,,
2,Strongly disagree,3,30.9,29.0,35.7,26.2,4.7,0,,,,,
3,Strongly disagree,4,5.5,16.0,10.2,0.8,4.7,0,,,,,
4,Strongly disagree,5,26.0,29.0,30.8,21.3,4.7,0,,,,,
5,Disagree,1,24.3,26.0,29.0,19.6,4.7,0,,,,,
6,Disagree,2,16.3,15.0,21.0,11.6,4.7,0,,,,,
7,Disagree,3,24.4,26.0,29.1,19.7,4.7,0,,,,,
8,Disagree,4,29.6,29.0,34.3,24.9,4.7,0,,,,,
9,Disagree,5,9.4,16.0,14.1,4.7,4.7,0,,,,,
10,Neither agree nor disagree,1,55.6,60.0,60.3,50.9,4.7,0,,,,,
11,Neither agree nor disagree,2,21.6,25.0,26.3,16.8,4.7,0,,,,,
12,Neither agree nor disagree,3,71.0,71.0,75.7,66.3,4.7,0,,,,,
13,Neither agree nor disagree,4,75.3,71.0,80.0,70.6,4.7,0,,,,,
14,Neither agree nor disagree,5,47.4,45.0,52.1,42.7,4.7,0,,,,,
15,Agree,1,62.4,60.0,67.2,57.7,4.7,0,,,,,
16,Agree,2,23.1,24.0,27.8,18.4,4.7,0,,,,,
17,Agree,3,117.3,118.0,122.0,112.6,4.7,0,,,,,
18,Agree,4,76.9,75.0,81.6,72.1,4.7,0,,,,,
19,Agree,5,15.0,17.0,19.7,10.2,4.7,0,,,,,
20,Strongly agree,1,51.8,46.0,56.5,47.1,4.7,0,,,,,
21,Strongly agree,2,20.5,18.0,25.2,15.7,4.7,0,,,,,
22,Strongly agree,3,58.1,58.0,62.8,53.4,4.7,0,,,,,
23,Strongly agree,4,27.4,31.0,32.1,22.6,4.7,0,,,,,
24,Strongly agree,5,18.3,20.0,23.0,13.6,4.7,0,,,,,
25,Strongly disagree,1,62.1,64.0,64.5,59.8,2.4,1,56.2,64.0,51.5,61.0,4.7
26,Strongly disagree,2,9.0,11.0,11.4,6.7,2.4,1,9.2,11.0,4.5,13.9,4.7
27,Strongly disagree,3,30.4,29.0,32.8,28.0,2.4,1,30.9,29.0,26.2,35.7,4.7
28,Strongly disagree,4,11.4,16.0,13.7,9.0,2.4,1,5.5,16.0,0.8,10.2,4.7
29,Strongly disagree,5,27.1,29.0,29.5,24.7,2.4,1,26.0,29.0,21.3,30.8,4.7
30,Disagree,1,26.8,26.0,29.1,24.4,2.4,1,24.3,26.0,19.6,29.0,4.7
31,Disagree,2,16.0,15.0,18.4,13.7,2.4,1,16.3,15.0,11.6,21.0,4.7
32,Disagree,3,27.8,26.0,30.2,25.5,2.4,1,24.4,26.0,19.7,29.1,4.7
33,Disagree,4,29.3,29.0,31.6,26.9,2.4,1,29.6,29.0,24.9,34.3,4.7
34,Disagree,5,14.5,16.0,16.9,12.1,2.4,1,9.4,16.0,4.7,14.1,4.7
35,Neither agree nor disagree,1,59.2,60.0,61.6,56.9,2.4,1,55.6,60.0,50.9,60.3,4.7
36,Neither agree nor disagree,2,25.8,25.0,28.1,23.4,2.4,1,21.6,25.0,16.8,26.3,4.7
37,Neither agree nor disagree,3,71.8,71.0,74.2,69.5,2.4,1,71.0,71.0,66.3,75.7,4.7
38,Neither agree nor disagree,4,73.0,71.0,75.4,70.6,2.4,1,75.3,71.0,70.6,80.0,4.7
39,Neither agree nor disagree,5,45.4,45.0,47.8,43.0,2.4,1,47.4,45.0,42.7,52.1,4.7
40,Agree,1,59.1,60.0,61.4,56.7,2.4,1,62.4,60.0,57.7,67.2,4.7
41,Agree,2,23.2,24.0,25.6,20.8,2.4,1,23.1,24.0,18.4,27.8,4.7
42,Agree,3,116.4,118.0,118.7,114.0,2.4,1,117.3,118.0,112.6,122.0,4.7
43,Agree,4,76.3,75.0,78.6,73.9,2.4,1,76.9,75.0,72.1,81.6,4.7
44,Agree,5,18.4,17.0,20.8,16.1,2.4,1,15.0,17.0,10.2,19.7,4.7
45,Strongly agree,1,50.5,46.0,52.8,48.1,2.4,1,51.8,46.0,47.1,56.5,4.7
46,Strongly agree,2,20.7,18.0,23.1,18.4,2.4,1,20.5,18.0,15.7,25.2,4.7
47,Strongly agree,3,58.7,58.0,61.1,56.4,2.4,1,58.1,58.0,53.4,62.8,4.7
48,Strongly agree,4,28.0,31.0,30.3,25.6,2.4,1,27.4,31.0,22.6,32.1,4.7
49,Strongly agree,5,20.8,20.0,23.2,18.5,2.4,1,18.3,20.0,13.6,23.0,4.7
50,Strongly disagree,1,64.1,64.0,65.7,62.5,1.6,2,62.1,64.0,59.8,64.5,2.4
51,Strongly disagree,2,9.3,11.0,10.9,7.8,1.6,2,9.0,11.0,6.7,11.4,2.4
52,Strongly disagree,3,29.6,29.0,31.2,28.1,1.6,2,30.4,29.0,28.0,32.8,2.4
53,Strongly disagree,4,10.1,16.0,11.7,8.6,1.6,2,11.4,16.0,9.0,13.7,2.4
54,Strongly disagree,5,28.1,29.0,29.6,26.5,1.6,2,27.1,29.0,24.7,29.5,2.4
55,Disagree,1,28.3,26.0,29.8,26.7,1.6,2,26.8,26.0,24.4,29.1,2.4
56,Disagree,2,14.6,15.0,16.2,13.1,1.6,2,16.0,15.0,13.7,18.4,2.4
57,Disagree,3,28.6,26.0,30.2,27.1,1.6,2,27.8,26.0,25.5,30.2,2.4
58,Disagree,4,28.0,29.0,29.6,26.5,1.6,2,29.3,29.0,26.9,31.6,2.4
59,Disagree,5,14.7,16.0,16.2,13.1,1.6,2,14.5,16.0,12.1,16.9,2.4
60,Neither agree nor disagree,1,59.7,60.0,61.2,58.1,1.6,2,59.2,60.0,56.9,61.6,2.4
61,Neither agree nor disagree,2,25.5,25.0,27.1,24.0,1.6,2,25.8,25.0,23.4,28.1,2.4
62,Neither agree nor disagree,3,71.6,71.0,73.2,70.0,1.6,2,71.8,71.0,69.5,74.2,2.4
63,Neither agree nor disagree,4,72.4,71.0,74.0,70.8,1.6,2,73.0,71.0,70.6,75.4,2.4
64,Neither agree nor disagree,5,47.5,45.0,49.1,45.9,1.6,2,45.4,45.0,43.0,47.8,2.4
65,Agree,1,58.4,60.0,60.0,56.9,1.6,2,59.1,60.0,56.7,61.4,2.4
66,Agree,2,24.6,24.0,26.1,23.0,1.6,2,23.2,24.0,20.8,25.6,2.4
67,Agree,3,116.4,118.0,117.9,114.8,1.6,2,116.4,118.0,114.0,118.7,2.4
68,Agree,4,76.3,75.0,77.9,74.7,1.6,2,76.3,75.0,73.9,78.6,2.4
69,Agree,5,20.1,17.0,21.6,18.5,1.6,2,18.4,17.0,16.1,20.8,2.4
70,Strongly agree,1,49.9,46.0,51.5,48.3,1.6,2,50.5,46.0,48.1,52.8,2.4
71,Strongly agree,2,16.9,18.0,18.4,15.3,1.6,2,20.7,18.0,18.4,23.1,2.4
72,Strongly agree,3,58.5,58.0,60.1,56.9,1.6,2,58.7,58.0,56.4,61.1,2.4
73,Strongly agree,4,28.8,31.0,30.4,27.3,1.6,2,28.0,31.0,25.6,30.3,2.4
74,Strongly agree,5,21.1,20.0,22.7,19.5,1.6,2,20.8,20.0,18.5,23.2,2.4
75,Strongly disagree,1,63.1,64.0,64.2,61.9,1.2,3,64.1,64.0,62.5,65.7,1.6
76,Strongly disagree,2,9.7,11.0,10.9,8.5,1.2,3,9.3,11.0,7.8,10.9,1.6
77,Strongly disagree,3,32.2,29.0,33.3,31.0,1.2,3,29.6,29.0,28.1,31.2,1.6
78,Strongly disagree,4,12.6,16.0,13.8,11.4,1.2,3,10.1,16.0,8.6,11.7,1.6
79,Strongly disagree,5,28.7,29.0,29.9,27.5,1.2,3,28.1,29.0,26.5,29.6,1.6
80,Disagree,1,29.2,26.0,30.4,28.0,1.2,3,28.3,26.0,26.7,29.8,1.6
81,Disagree,2,15.3,15.0,16.4,14.1,1.2,3,14.6,15.0,13.1,16.2,1.6
82,Disagree,3,23.4,26.0,24.6,22.2,1.2,3,28.6,26.0,27.1,30.2,1.6
83,Disagree,4,28.6,29.0,29.8,27.4,1.2,3,28.0,29.0,26.5,29.6,1.6
84,Disagree,5,15.1,16.0,16.3,14.0,1.2,3,14.7,16.0,13.1,16.2,1.6
85,Neither agree nor disagree,1,59.6,60.0,60.8,58.4,1.2,3,59.7,60.0,58.1,61.2,1.6
86,Neither agree nor disagree,2,25.1,25.0,26.3,24.0,1.2,3,25.5,25.0,24.0,27.1,1.6
87,Neither agree nor disagree,3,71.0,71.0,72.2,69.8,1.2,3,71.6,71.0,70.0,73.2,1.6
88,Neither agree nor disagree,4,72.7,71.0,73.9,71.5,1.2,3,72.4,71.0,70.8,74.0,1.6
89,Neither agree nor disagree,5,47.3,45.0,48.5,46.2,1.2,3,47.5,45.0,45.9,49.1,1.6
90,Agree,1,59.4,60.0,60.6,58.3,1.2,3,58.4,60.0,56.9,60.0,1.6
91,Agree,2,25.1,24.0,26.3,24.0,1.2,3,24.6,24.0,23.0,26.1,1.6
92,Agree,3,117.3,118.0,118.5,116.1,1.2,3,116.4,118.0,114.8,117.9,1.6
93,Agree,4,75.3,75.0,76.5,74.2,1.2,3,76.3,75.0,74.7,77.9,1.6
94,Agree,5,18.9,17.0,20.1,17.8,1.2,3,20.1,17.0,18.5,21.6,1.6
95,Strongly agree,1,50.3,46.0,51.4,49.1,1.2,3,49.9,46.0,48.3,51.5,1.6
96,Strongly agree,2,18.7,18.0,19.9,17.6,1.2,3,16.9,18.0,15.3,18.4,1.6
97,Strongly agree,3,58.6,58.0,59.8,57.4,1.2,3,58.5,58.0,56.9,60.1,1.6
98,Strongly agree,4,28.3,31.0,29.5,27.1,1.2,3,28.8,31.0,27.3,30.4,1.6
