,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,9.1,0.0,13.8,4.3,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,233.3,233.0,238.0,228.6,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,97.7,88.0,102.4,93.0,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,41.9,40.0,46.6,37.2,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,27.7,26.0,32.4,23.0,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,6.2,9.0,10.9,1.5,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,17.2,7.0,21.9,12.4,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,-6.6,8.0,-1.9,-11.3,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,0.7,3.0,5.4,-4.0,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,2.5,3.0,7.2,-2.2,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,12.7,10.0,17.4,8.0,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,5.3,1.0,10.0,0.6,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,27.4,16.0,32.1,22.6,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,2.3,6.0,7.0,-2.4,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,3.7,3.0,8.4,-1.0,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-12.4,1.0,-7.7,-17.1,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,-0.9,0.0,3.9,-5.6,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-7.1,1.0,-2.4,-11.8,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,8.2,0.0,12.9,3.4,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,-0.5,0.0,4.3,-5.2,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,7.6,0.0,12.3,2.9,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,2.8,0.0,7.5,-1.9,4.7,0,,,,,
22,Widowed,$-9k-$-1k,-3.5,0.0,1.2,-8.2,4.7,0,,,,,
23,Widowed,$0k-$49k,36.7,43.0,41.4,32.0,4.7,0,,,,,
24,Widowed,$50k-$99k,11.8,11.0,16.5,7.0,4.7,0,,,,,
25,Widowed,$100k-$149k,-1.6,2.0,3.1,-6.4,4.7,0,,,,,
26,Widowed,$150k-$199k,3.1,1.0,7.8,-1.6,4.7,0,,,,,
27,Widowed,$200k-$249k,0.3,1.0,5.0,-4.4,4.7,0,,,,,
28,Widowed,$250k-$299k,0.2,0.0,4.9,-4.5,4.7,0,,,,,
29,Widowed,$300k-$349k,8.9,2.0,13.6,4.2,4.7,0,,,,,
30,Widowed,$350k-$399k,0.1,0.0,4.9,-4.6,4.7,0,,,,,
31,Widowed,$400k-$449k,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
32,Widowed,$450k-$1499k,-3.8,0.0,0.9,-8.5,4.7,0,,,,,
33,Divorced,$-9k-$-1k,1.2,1.0,5.9,-3.5,4.7,0,,,,,
34,Divorced,$0k-$49k,73.1,72.0,77.8,68.4,4.7,0,,,,,
35,Divorced,$50k-$99k,20.3,21.0,25.0,15.6,4.7,0,,,,,
36,Divorced,$100k-$149k,8.2,7.0,12.9,3.5,4.7,0,,,,,
37,Divorced,$150k-$199k,2.2,3.0,6.9,-2.5,4.7,0,,,,,
38,Divorced,$200k-$249k,3.9,3.0,8.7,-0.8,4.7,0,,,,,
39,Divorced,$250k-$299k,5.6,3.0,10.3,0.8,4.7,0,,,,,
40,Divorced,$300k-$349k,-3.4,0.0,1.3,-8.1,4.7,0,,,,,
41,Divorced,$350k-$399k,0.0,1.0,4.8,-4.7,4.7,0,,,,,
42,Divorced,$400k-$449k,0.0,0.0,4.7,-4.7,4.7,0,,,,,
43,Divorced,$450k-$1499k,1.6,0.0,6.3,-3.2,4.7,0,,,,,
44,Separated,$-9k-$-1k,0.4,0.0,5.1,-4.3,4.7,0,,,,,
45,Separated,$0k-$49k,18.0,17.0,22.7,13.2,4.7,0,,,,,
46,Separated,$50k-$99k,7.2,2.0,11.9,2.5,4.7,0,,,,,
47,Separated,$100k-$149k,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
48,Separated,$150k-$199k,3.1,2.0,7.8,-1.6,4.7,0,,,,,
49,Separated,$200k-$249k,-3.2,0.0,1.5,-7.9,4.7,0,,,,,
50,Separated,$250k-$299k,1.0,1.0,5.7,-3.7,4.7,0,,,,,
51,Separated,$300k-$349k,-3.4,0.0,1.4,-8.1,4.7,0,,,,,
52,Separated,$350k-$399k,6.0,0.0,10.8,1.3,4.7,0,,,,,
53,Separated,$400k-$449k,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
54,Separated,$450k-$1499k,4.6,1.0,9.3,-0.1,4.7,0,,,,,
55,Never married,$-9k-$-1k,5.5,0.0,10.2,0.8,4.7,0,,,,,
56,Never married,$0k-$49k,270.3,271.0,275.0,265.6,4.7,0,,,,,
57,Never married,$50k-$99k,55.6,57.0,60.3,50.9,4.7,0,,,,,
58,Never married,$100k-$149k,14.5,14.0,19.2,9.8,4.7,0,,,,,
59,Never married,$150k-$199k,5.9,2.0,10.6,1.2,4.7,0,,,,,
60,Never married,$200k-$249k,9.3,5.0,14.0,4.6,4.7,0,,,,,
61,Never married,$250k-$299k,0.7,0.0,5.4,-4.0,4.7,0,,,,,
62,Never married,$300k-$349k,-5.9,0.0,-1.2,-10.6,4.7,0,,,,,
63,Never married,$350k-$399k,2.7,2.0,7.4,-2.0,4.7,0,,,,,
64,Never married,$400k-$449k,-2.4,0.0,2.3,-7.1,4.7,0,,,,,
65,Never married,$450k-$1499k,2.1,0.0,6.8,-2.6,4.7,0,,,,,
66,"Now married, spouse present",$-9k-$-1k,4.8,0.0,7.1,2.4,2.4,1,9.1,0.0,4.3,13.8,4.7
67,"Now married, spouse present",$0k-$49k,235.1,233.0,237.5,232.7,2.4,1,233.3,233.0,228.6,238.0,4.7
68,"Now married, spouse present",$50k-$99k,92.8,88.0,95.2,90.4,2.4,1,97.7,88.0,93.0,102.4,4.7
69,"Now married, spouse present",$100k-$149k,42.5,40.0,44.9,40.2,2.4,1,41.9,40.0,37.2,46.6,4.7
70,"Now married, spouse present",$150k-$199k,26.9,26.0,29.2,24.5,2.4,1,27.7,26.0,23.0,32.4,4.7
71,"Now married, spouse present",$200k-$249k,10.8,9.0,13.2,8.4,2.4,1,6.2,9.0,1.5,10.9,4.7
72,"Now married, spouse present",$250k-$299k,12.8,7.0,15.1,10.4,2.4,1,17.2,7.0,12.4,21.9,4.7
73,"Now married, spouse present",$300k-$349k,-1.3,8.0,1.0,-3.7,2.4,1,-6.6,8.0,-11.3,-1.9,4.7
74,"Now married, spouse present",$350k-$399k,1.3,3.0,3.7,-1.0,2.4,1,0.7,3.0,-4.0,5.4,4.7
75,"Now married, spouse present",$400k-$449k,5.0,3.0,7.3,2.6,2.4,1,2.5,3.0,-2.2,7.2,4.7
76,"Now married, spouse present",$450k-$1499k,10.8,10.0,13.1,8.4,2.4,1,12.7,10.0,8.0,17.4,4.7
