,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",3.6,3.0,8.4,-1.1,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",6.3,1.0,11.0,1.6,4.7,0,,,,,
2,15-24,Widowed,6.1,1.0,10.8,1.4,4.7,0,,,,,
3,15-24,Divorced,3.3,0.0,8.0,-1.4,4.7,0,,,,,
4,15-24,Separated,-7.8,1.0,-3.1,-12.5,4.7,0,,,,,
5,15-24,Never married,144.6,143.0,149.3,139.9,4.7,0,,,,,
6,25-34,"Now married, spouse present",45.1,45.0,49.8,40.4,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",3.3,2.0,8.0,-1.4,4.7,0,,,,,
8,25-34,Widowed,-3.2,0.0,1.6,-7.9,4.7,0,,,,,
9,25-34,Divorced,5.0,7.0,9.7,0.3,4.7,0,,,,,
10,25-34,Separated,2.9,1.0,7.6,-1.8,4.7,0,,,,,
11,25-34,Never married,100.8,98.0,105.5,96.1,4.7,0,,,,,
12,35-44,"Now married, spouse present",89.7,87.0,94.4,85.0,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",-2.7,6.0,2.0,-7.4,4.7,0,,,,,
14,35-44,Widowed,-4.9,0.0,-0.1,-9.6,4.7,0,,,,,
15,35-44,Divorced,13.3,11.0,18.0,8.6,4.7,0,,,,,
16,35-44,Separated,0.5,3.0,5.3,-4.2,4.7,0,,,,,
17,35-44,Never married,36.8,39.0,41.5,32.0,4.7,0,,,,,
18,45-54,"Now married, spouse present",84.7,77.0,89.4,79.9,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",4.4,4.0,9.2,-0.3,4.7,0,,,,,
20,45-54,Widowed,0.6,4.0,5.3,-4.1,4.7,0,,,,,
21,45-54,Divorced,21.6,19.0,26.3,16.9,4.7,0,,,,,
22,45-54,Separated,5.9,6.0,10.7,1.2,4.7,0,,,,,
23,45-54,Never married,28.0,27.0,32.7,23.3,4.7,0,,,,,
