,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,48.7,55.0,53.4,44.0,4.7,0,,,,,
1,African American,3-4,49.7,47.0,54.4,45.0,4.7,0,,,,,
2,African American,5-6,28.6,29.0,33.3,23.8,4.7,0,,,,,
3,African American,7-8,29.0,27.0,33.7,24.3,4.7,0,,,,,
4,African American,9-10,23.4,13.0,28.1,18.7,4.7,0,,,,,
5,African American,11-12,4.3,4.0,9.0,-0.4,4.7,0,,,,,
6,African American,13-14,9.0,9.0,13.7,4.3,4.7,0,,,,,
7,Asian,1-2,-0.1,2.0,4.6,-4.8,4.7,0,,,,,
8,Asian,3-4,2.0,2.0,6.7,-2.7,4.7,0,,,,,
9,Asian,5-6,1.5,0.0,6.2,-3.2,4.7,0,,,,,
10,Asian,7-8,3.1,0.0,7.8,-1.6,4.7,0,,,,,
11,Asian,9-10,-0.9,0.0,3.8,-5.6,4.7,0,,,,,
12,Asian,11-12,-6.8,0.0,-2.0,-11.5,4.7,0,,,,,
13,Asian,13-14,-1.8,0.0,2.9,-6.6,4.7,0,,,,,
14,Caucasian,1-2,223.2,226.0,227.9,218.4,4.7,0,,,,,
15,Caucasian,3-4,247.7,248.0,252.4,243.0,4.7,0,,,,,
16,Caucasian,5-6,149.6,143.0,154.3,144.9,4.7,0,,,,,
17,Caucasian,7-8,60.0,70.0,64.7,55.3,4.7,0,,,,,
18,Caucasian,9-10,38.7,38.0,43.5,34.0,4.7,0,,,,,
19,Caucasian,11-12,48.7,41.0,53.4,44.0,4.7,0,,,,,
20,Caucasian,13-14,8.4,11.0,13.1,3.7,4.7,0,,,,,
21,Hispanic,1-2,11.7,6.0,16.4,7.0,4.7,0,,,,,
22,Hispanic,3-4,3.6,8.0,8.3,-1.1,4.7,0,,,,,
23,Hispanic,5-6,4.2,4.0,8.9,-0.6,4.7,0,,,,,
24,Hispanic,7-8,3.3,1.0,8.0,-1.4,4.7,0,,,,,
25,Hispanic,9-10,2.4,1.0,7.1,-2.3,4.7,0,,,,,
26,Hispanic,11-12,0.8,1.0,5.5,-3.9,4.7,0,,,,,
27,Hispanic,13-14,-2.0,1.0,2.7,-6.7,4.7,0,,,,,
28,Other,1-2,2.0,3.0,6.7,-2.7,4.7,0,,,,,
29,Other,3-4,4.8,5.0,9.6,0.1,4.7,0,,,,,
30,Other,5-6,1.0,2.0,5.7,-3.8,4.7,0,,,,,
31,Other,7-8,5.8,2.0,10.5,1.0,4.7,0,,,,,
32,Other,9-10,2.6,0.0,7.3,-2.1,4.7,0,,,,,
33,Other,11-12,-1.6,0.0,3.2,-6.3,4.7,0,,,,,
34,Other,13-14,1.5,1.0,6.2,-3.2,4.7,0,,,,,
35,African American,1-2,50.2,55.0,52.5,47.8,2.4,1,48.7,55.0,44.0,53.4,4.7
36,African American,3-4,49.5,47.0,51.8,47.1,2.4,1,49.7,47.0,45.0,54.4,4.7
37,African American,5-6,28.5,29.0,30.9,26.1,2.4,1,28.6,29.0,23.8,33.3,4.7
38,African American,7-8,27.7,27.0,30.1,25.4,2.4,1,29.0,27.0,24.3,33.7,4.7
39,African American,9-10,18.7,13.0,21.1,16.4,2.4,1,23.4,13.0,18.7,28.1,4.7
40,African American,11-12,4.2,4.0,6.6,1.9,2.4,1,4.3,4.0,-0.4,9.0,4.7
41,African American,13-14,8.7,9.0,11.0,6.3,2.4,1,9.0,9.0,4.3,13.7,4.7
42,Asian,1-2,-1.9,2.0,0.5,-4.2,2.4,1,-0.1,2.0,-4.8,4.6,4.7
43,Asian,3-4,2.9,2.0,5.3,0.5,2.4,1,2.0,2.0,-2.7,6.7,4.7
44,Asian,5-6,0.8,0.0,3.2,-1.5,2.4,1,1.5,0.0,-3.2,6.2,4.7
45,Asian,7-8,2.4,0.0,4.7,0.0,2.4,1,3.1,0.0,-1.6,7.8,4.7
46,Asian,9-10,3.6,0.0,5.9,1.2,2.4,1,-0.9,0.0,-5.6,3.8,4.7
47,Asian,11-12,-2.6,0.0,-0.3,-5.0,2.4,1,-6.8,0.0,-11.5,-2.0,4.7
48,Asian,13-14,-4.7,0.0,-2.3,-7.0,2.4,1,-1.8,0.0,-6.6,2.9,4.7
49,Caucasian,1-2,224.9,226.0,227.3,222.6,2.4,1,223.2,226.0,218.4,227.9,4.7
50,Caucasian,3-4,246.6,248.0,248.9,244.2,2.4,1,247.7,248.0,243.0,252.4,4.7
51,Caucasian,5-6,150.7,143.0,153.1,148.4,2.4,1,149.6,143.0,144.9,154.3,4.7
52,Caucasian,7-8,68.7,70.0,71.0,66.3,2.4,1,60.0,70.0,55.3,64.7,4.7
53,Caucasian,9-10,40.4,38.0,42.7,38.0,2.4,1,38.7,38.0,34.0,43.5,4.7
54,Caucasian,11-12,44.7,41.0,47.1,42.4,2.4,1,48.7,41.0,44.0,53.4,4.7
55,Caucasian,13-14,11.6,11.0,14.0,9.3,2.4,1,8.4,11.0,3.7,13.1,4.7
56,Hispanic,1-2,8.0,6.0,10.4,5.7,2.4,1,11.7,6.0,7.0,16.4,4.7
57,Hispanic,3-4,5.7,8.0,8.0,3.3,2.4,1,3.6,8.0,-1.1,8.3,4.7
58,Hispanic,5-6,5.2,4.0,7.5,2.8,2.4,1,4.2,4.0,-0.6,8.9,4.7
59,Hispanic,7-8,2.1,1.0,4.5,-0.2,2.4,1,3.3,1.0,-1.4,8.0,4.7
60,Hispanic,9-10,-0.5,1.0,1.9,-2.8,2.4,1,2.4,1.0,-2.3,7.1,4.7
61,Hispanic,11-12,0.3,1.0,2.6,-2.1,2.4,1,0.8,1.0,-3.9,5.5,4.7
62,Hispanic,13-14,-1.2,1.0,1.1,-3.6,2.4,1,-2.0,1.0,-6.7,2.7,4.7
63,Other,1-2,0.7,3.0,3.0,-1.7,2.4,1,2.0,3.0,-2.7,6.7,4.7
64,Other,3-4,4.6,5.0,7.0,2.3,2.4,1,4.8,5.0,0.1,9.6,4.7
65,Other,5-6,1.3,2.0,3.7,-1.1,2.4,1,1.0,2.0,-3.8,5.7,4.7
