,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,70.2,72.0,75.0,65.5,4.7,0,,,,,
1,Strongly disagree,2,11.2,11.0,15.9,6.5,4.7,0,,,,,
2,Strongly disagree,3,17.8,21.0,22.5,13.1,4.7,0,,,,,
3,Strongly disagree,4,10.3,17.0,15.1,5.6,4.7,0,,,,,
4,Strongly disagree,5,31.8,29.0,36.6,27.1,4.7,0,,,,,
5,Disagree,1,28.1,27.0,32.8,23.4,4.7,0,,,,,
6,Disagree,2,6.5,6.0,11.3,1.8,4.7,0,,,,,
7,Disagree,3,17.5,26.0,22.2,12.8,4.7,0,,,,,
8,Disagree,4,14.9,16.0,19.6,10.2,4.7,0,,,,,
9,Disagree,5,21.4,14.0,26.1,16.7,4.7,0,,,,,
10,Neither agree nor disagree,1,87.3,83.0,92.1,82.6,4.7,0,,,,,
11,Neither agree nor disagree,2,31.7,27.0,36.4,27.0,4.7,0,,,,,
12,Neither agree nor disagree,3,68.4,76.0,73.1,63.7,4.7,0,,,,,
13,Neither agree nor disagree,4,55.2,54.0,59.9,50.5,4.7,0,,,,,
14,Neither agree nor disagree,5,40.4,40.0,45.1,35.7,4.7,0,,,,,
15,Agree,1,58.9,59.0,63.6,54.2,4.7,0,,,,,
16,Agree,2,31.1,33.0,35.8,26.4,4.7,0,,,,,
17,Agree,3,110.3,112.0,115.0,105.6,4.7,0,,,,,
18,Agree,4,63.4,63.0,68.2,58.7,4.7,0,,,,,
19,Agree,5,27.2,28.0,31.9,22.5,4.7,0,,,,,
20,Strongly agree,1,44.4,45.0,49.1,39.7,4.7,0,,,,,
21,Strongly agree,2,16.8,21.0,21.6,12.1,4.7,0,,,,,
22,Strongly agree,3,54.0,58.0,58.7,49.3,4.7,0,,,,,
23,Strongly agree,4,32.7,40.0,37.4,27.9,4.7,0,,,,,
24,Strongly agree,5,23.9,22.0,28.6,19.2,4.7,0,,,,,
25,Strongly disagree,1,71.8,72.0,74.2,69.5,2.4,1,70.2,72.0,65.5,75.0,4.7
26,Strongly disagree,2,8.7,11.0,11.1,6.3,2.4,1,11.2,11.0,6.5,15.9,4.7
27,Strongly disagree,3,19.2,21.0,21.6,16.8,2.4,1,17.8,21.0,13.1,22.5,4.7
28,Strongly disagree,4,16.2,17.0,18.5,13.8,2.4,1,10.3,17.0,5.6,15.1,4.7
29,Strongly disagree,5,31.9,29.0,34.3,29.6,2.4,1,31.8,29.0,27.1,36.6,4.7
30,Disagree,1,31.8,27.0,34.1,29.4,2.4,1,28.1,27.0,23.4,32.8,4.7
31,Disagree,2,6.9,6.0,9.3,4.6,2.4,1,6.5,6.0,1.8,11.3,4.7
32,Disagree,3,22.7,26.0,25.1,20.4,2.4,1,17.5,26.0,12.8,22.2,4.7
33,Disagree,4,16.6,16.0,18.9,14.2,2.4,1,14.9,16.0,10.2,19.6,4.7
34,Disagree,5,20.2,14.0,22.5,17.8,2.4,1,21.4,14.0,16.7,26.1,4.7
35,Neither agree nor disagree,1,86.5,83.0,88.9,84.2,2.4,1,87.3,83.0,82.6,92.1,4.7
36,Neither agree nor disagree,2,31.2,27.0,33.6,28.9,2.4,1,31.7,27.0,27.0,36.4,4.7
37,Neither agree nor disagree,3,74.0,76.0,76.3,71.6,2.4,1,68.4,76.0,63.7,73.1,4.7
38,Neither agree nor disagree,4,49.9,54.0,52.2,47.5,2.4,1,55.2,54.0,50.5,59.9,4.7
