,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",2.3,5.0,7.0,-2.4,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",2.2,2.0,6.9,-2.6,4.7,0,,,,,
2,15-24,Widowed,0.4,0.0,5.1,-4.4,4.7,0,,,,,
3,15-24,Divorced,-8.0,0.0,-3.3,-12.7,4.7,0,,,,,
4,15-24,Separated,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
5,15-24,Never married,113.3,116.0,118.0,108.6,4.7,0,,,,,
6,25-34,"Now married, spouse present",39.3,43.0,44.0,34.6,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",-4.5,2.0,0.2,-9.3,4.7,0,,,,,
8,25-34,Widowed,7.1,0.0,11.8,2.4,4.7,0,,,,,
9,25-34,Divorced,4.5,4.0,9.2,-0.3,4.7,0,,,,,
10,25-34,Separated,-6.2,0.0,-1.5,-10.9,4.7,0,,,,,
11,25-34,Never married,120.0,118.0,124.7,115.3,4.7,0,,,,,
12,35-44,"Now married, spouse present",76.7,79.0,81.4,72.0,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",8.2,10.0,12.9,3.5,4.7,0,,,,,
14,35-44,Widowed,1.7,0.0,6.4,-3.0,4.7,0,,,,,
15,35-44,Divorced,12.8,13.0,17.5,8.0,4.7,0,,,,,
16,35-44,Separated,0.2,3.0,4.9,-4.5,4.7,0,,,,,
17,35-44,Never married,39.6,40.0,44.3,34.9,4.7,0,,,,,
18,45-54,"Now married, spouse present",97.0,91.0,101.7,92.3,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",6.5,6.0,11.2,1.8,4.7,0,,,,,
20,45-54,Widowed,2.8,3.0,7.5,-1.9,4.7,0,,,,,
21,45-54,Divorced,14.5,16.0,19.2,9.7,4.7,0,,,,,
22,45-54,Separated,0.8,9.0,5.6,-3.9,4.7,0,,,,,
23,45-54,Never married,36.3,34.0,41.1,31.6,4.7,0,,,,,
24,55-64,"Now married, spouse present",89.5,87.0,94.3,84.8,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",5.9,3.0,10.6,1.2,4.7,0,,,,,
26,55-64,Widowed,4.6,11.0,9.3,-0.2,4.7,0,,,,,
27,55-64,Divorced,34.3,33.0,39.0,29.6,4.7,0,,,,,
28,55-64,Separated,-5.5,2.0,-0.7,-10.2,4.7,0,,,,,
29,55-64,Never married,20.5,19.0,25.3,15.8,4.7,0,,,,,
30,65-74,"Now married, spouse present",87.8,88.0,92.5,83.1,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",4.3,3.0,9.0,-0.4,4.7,0,,,,,
32,65-74,Widowed,13.6,12.0,18.3,8.9,4.7,0,,,,,
33,65-74,Divorced,31.9,34.0,36.6,27.1,4.7,0,,,,,
34,65-74,Separated,-10.6,2.0,-5.9,-15.3,4.7,0,,,,,
35,65-74,Never married,19.6,17.0,24.3,14.9,4.7,0,,,,,
36,75-84,"Now married, spouse present",27.7,32.0,32.5,23.0,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",1.6,1.0,6.3,-3.1,4.7,0,,,,,
38,75-84,Widowed,17.7,19.0,22.4,13.0,4.7,0,,,,,
39,75-84,Divorced,4.4,7.0,9.2,-0.3,4.7,0,,,,,
40,75-84,Separated,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
41,75-84,Never married,6.0,8.0,10.7,1.3,4.7,0,,,,,
42,85-99,"Now married, spouse present",3.2,6.0,7.9,-1.5,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",0.9,2.0,5.6,-3.8,4.7,0,,,,,
44,85-99,Widowed,5.0,16.0,9.7,0.3,4.7,0,,,,,
45,85-99,Divorced,3.9,3.0,8.6,-0.8,4.7,0,,,,,
46,85-99,Separated,-2.6,0.0,2.1,-7.3,4.7,0,,,,,
47,85-99,Never married,2.2,0.0,6.9,-2.5,4.7,0,,,,,
48,15-24,"Now married, spouse present",4.7,5.0,7.1,2.3,2.4,1,2.3,5.0,-2.4,7.0,4.7
49,15-24,"Now Married, spouse absent",2.8,2.0,5.2,0.4,2.4,1,2.2,2.0,-2.6,6.9,4.7
50,15-24,Widowed,0.3,0.0,2.6,-2.1,2.4,1,0.4,0.0,-4.4,5.1,4.7
51,15-24,Divorced,-3.8,0.0,-1.4,-6.1,2.4,1,-8.0,0.0,-12.7,-3.3,4.7
52,15-24,Separated,0.4,0.0,2.8,-1.9,2.4,1,-1.1,0.0,-5.8,3.6,4.7
53,15-24,Never married,115.4,116.0,117.8,113.1,2.4,1,113.3,116.0,108.6,118.0,4.7
54,25-34,"Now married, spouse present",38.7,43.0,41.0,36.3,2.4,1,39.3,43.0,34.6,44.0,4.7
55,25-34,"Now Married, spouse absent",-2.8,2.0,-0.4,-5.2,2.4,1,-4.5,2.0,-9.3,0.2,4.7
56,25-34,Widowed,4.5,0.0,6.9,2.2,2.4,1,7.1,0.0,2.4,11.8,4.7
57,25-34,Divorced,3.8,4.0,6.2,1.5,2.4,1,4.5,4.0,-0.3,9.2,4.7
58,25-34,Separated,-3.7,0.0,-1.4,-6.1,2.4,1,-6.2,0.0,-10.9,-1.5,4.7
