,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",-1.3,5.0,3.4,-6.0,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",4.7,2.0,9.4,0.0,4.7,0,,,,,
2,15-24,Widowed,-0.4,0.0,4.3,-5.2,4.7,0,,,,,
3,15-24,Divorced,2.0,0.0,6.7,-2.7,4.7,0,,,,,
4,15-24,Separated,10.4,0.0,15.1,5.7,4.7,0,,,,,
5,15-24,Never married,116.3,116.0,121.0,111.6,4.7,0,,,,,
6,25-34,"Now married, spouse present",36.5,43.0,41.3,31.8,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",-0.1,2.0,4.6,-4.8,4.7,0,,,,,
8,25-34,Widowed,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
9,25-34,Divorced,5.5,4.0,10.2,0.8,4.7,0,,,,,
10,25-34,Separated,3.1,0.0,7.8,-1.6,4.7,0,,,,,
11,25-34,Never married,117.1,118.0,121.8,112.4,4.7,0,,,,,
12,35-44,"Now married, spouse present",77.2,79.0,81.9,72.4,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",15.7,10.0,20.4,11.0,4.7,0,,,,,
14,35-44,Widowed,-2.8,0.0,1.9,-7.6,4.7,0,,,,,
15,35-44,Divorced,12.7,13.0,17.4,8.0,4.7,0,,,,,
16,35-44,Separated,9.6,3.0,14.3,4.9,4.7,0,,,,,
17,35-44,Never married,30.0,40.0,34.7,25.3,4.7,0,,,,,
18,45-54,"Now married, spouse present",98.7,91.0,103.4,94.0,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",3.4,6.0,8.1,-1.3,4.7,0,,,,,
20,45-54,Widowed,3.3,3.0,8.1,-1.4,4.7,0,,,,,
21,45-54,Divorced,21.7,16.0,26.4,17.0,4.7,0,,,,,
22,45-54,Separated,4.6,9.0,9.3,-0.1,4.7,0,,,,,
23,45-54,Never married,34.2,34.0,38.9,29.4,4.7,0,,,,,
24,55-64,"Now married, spouse present",88.4,87.0,93.1,83.7,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",2.8,3.0,7.5,-1.9,4.7,0,,,,,
26,55-64,Widowed,8.0,11.0,12.7,3.3,4.7,0,,,,,
27,55-64,Divorced,32.9,33.0,37.7,28.2,4.7,0,,,,,
28,55-64,Separated,1.0,2.0,5.7,-3.7,4.7,0,,,,,
29,55-64,Never married,18.8,19.0,23.6,14.1,4.7,0,,,,,
30,65-74,"Now married, spouse present",91.8,88.0,96.5,87.0,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",5.6,3.0,10.3,0.9,4.7,0,,,,,
32,65-74,Widowed,10.4,12.0,15.2,5.7,4.7,0,,,,,
33,65-74,Divorced,34.5,34.0,39.2,29.8,4.7,0,,,,,
34,65-74,Separated,0.0,2.0,4.7,-4.7,4.7,0,,,,,
35,65-74,Never married,16.7,17.0,21.4,12.0,4.7,0,,,,,
36,75-84,"Now married, spouse present",33.3,32.0,38.0,28.5,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",-0.0,1.0,4.7,-4.7,4.7,0,,,,,
38,75-84,Widowed,18.7,19.0,23.4,14.0,4.7,0,,,,,
39,75-84,Divorced,8.9,7.0,13.6,4.2,4.7,0,,,,,
40,75-84,Separated,0.4,1.0,5.1,-4.4,4.7,0,,,,,
41,75-84,Never married,13.6,8.0,18.3,8.9,4.7,0,,,,,
42,85-99,"Now married, spouse present",8.2,6.0,12.9,3.5,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",1.4,2.0,6.2,-3.3,4.7,0,,,,,
44,85-99,Widowed,15.5,16.0,20.2,10.8,4.7,0,,,,,
45,85-99,Divorced,4.0,3.0,8.8,-0.7,4.7,0,,,,,
46,85-99,Separated,0.2,0.0,4.9,-4.6,4.7,0,,,,,
47,85-99,Never married,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
48,15-24,"Now married, spouse present",1.1,5.0,3.4,-1.3,2.4,1,-1.3,5.0,-6.0,3.4,4.7
49,15-24,"Now Married, spouse absent",3.7,2.0,6.1,1.4,2.4,1,4.7,2.0,0.0,9.4,4.7
50,15-24,Widowed,-1.5,0.0,0.9,-3.8,2.4,1,-0.4,0.0,-5.2,4.3,4.7
51,15-24,Divorced,5.4,0.0,7.8,3.1,2.4,1,2.0,0.0,-2.7,6.7,4.7
52,15-24,Separated,8.9,0.0,11.2,6.5,2.4,1,10.4,0.0,5.7,15.1,4.7
53,15-24,Never married,118.1,116.0,120.5,115.8,2.4,1,116.3,116.0,111.6,121.0,4.7
54,25-34,"Now married, spouse present",41.7,43.0,44.0,39.3,2.4,1,36.5,43.0,31.8,41.3,4.7
55,25-34,"Now Married, spouse absent",-1.3,2.0,1.1,-3.6,2.4,1,-0.1,2.0,-4.8,4.6,4.7
56,25-34,Widowed,-0.8,0.0,1.6,-3.2,2.4,1,-0.0,0.0,-4.7,4.7,4.7
57,25-34,Divorced,4.6,4.0,7.0,2.3,2.4,1,5.5,4.0,0.8,10.2,4.7
58,25-34,Separated,2.7,0.0,5.0,0.3,2.4,1,3.1,0.0,-1.6,7.8,4.7
59,25-34,Never married,117.5,118.0,119.9,115.1,2.4,1,117.1,118.0,112.4,121.8,4.7
60,35-44,"Now married, spouse present",77.5,79.0,79.8,75.1,2.4,1,77.2,79.0,72.4,81.9,4.7
61,35-44,"Now Married, spouse absent",12.1,10.0,14.5,9.8,2.4,1,15.7,10.0,11.0,20.4,4.7
62,35-44,Widowed,-2.3,0.0,0.1,-4.6,2.4,1,-2.8,0.0,-7.6,1.9,4.7
63,35-44,Divorced,11.0,13.0,13.3,8.6,2.4,1,12.7,13.0,8.0,17.4,4.7
64,35-44,Separated,6.0,3.0,8.4,3.6,2.4,1,9.6,3.0,4.9,14.3,4.7
65,35-44,Never married,34.8,40.0,37.2,32.5,2.4,1,30.0,40.0,25.3,34.7,4.7
66,45-54,"Now married, spouse present",96.3,91.0,98.7,94.0,2.4,1,98.7,91.0,94.0,103.4,4.7
67,45-54,"Now Married, spouse absent",4.8,6.0,7.1,2.4,2.4,1,3.4,6.0,-1.3,8.1,4.7
68,45-54,Widowed,3.0,3.0,5.4,0.7,2.4,1,3.3,3.0,-1.4,8.1,4.7
69,45-54,Divorced,20.2,16.0,22.6,17.8,2.4,1,21.7,16.0,17.0,26.4,4.7
70,45-54,Separated,9.3,9.0,11.6,6.9,2.4,1,4.6,9.0,-0.1,9.3,4.7
71,45-54,Never married,34.8,34.0,37.2,32.4,2.4,1,34.2,34.0,29.4,38.9,4.7
72,55-64,"Now married, spouse present",91.2,87.0,93.6,88.8,2.4,1,88.4,87.0,83.7,93.1,4.7
73,55-64,"Now Married, spouse absent",-1.3,3.0,1.1,-3.7,2.4,1,2.8,3.0,-1.9,7.5,4.7
