,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,55.2,63.0,60.0,50.5,4.7,0,,,,,
1,African American,3-4,75.2,77.0,79.9,70.5,4.7,0,,,,,
2,African American,5-6,38.9,37.0,43.7,34.2,4.7,0,,,,,
3,African American,7-8,14.5,25.0,19.2,9.8,4.7,0,,,,,
4,African American,9-10,6.0,9.0,10.8,1.3,4.7,0,,,,,
5,African American,11-12,0.4,8.0,5.1,-4.3,4.7,0,,,,,
6,African American,13-14,1.3,3.0,6.0,-3.4,4.7,0,,,,,
7,Asian,1-2,-0.6,1.0,4.1,-5.3,4.7,0,,,,,
8,Asian,3-4,4.6,4.0,9.3,-0.1,4.7,0,,,,,
9,Asian,5-6,-4.6,2.0,0.1,-9.3,4.7,0,,,,,
10,Asian,7-8,4.4,0.0,9.1,-0.3,4.7,0,,,,,
11,Asian,9-10,-4.4,0.0,0.3,-9.1,4.7,0,,,,,
12,Asian,11-12,-3.4,0.0,1.3,-8.2,4.7,0,,,,,
13,Asian,13-14,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
14,Caucasian,1-2,228.4,226.0,233.1,223.7,4.7,0,,,,,
15,Caucasian,3-4,242.4,233.0,247.1,237.7,4.7,0,,,,,
16,Caucasian,5-6,134.4,132.0,139.2,129.7,4.7,0,,,,,
17,Caucasian,7-8,71.1,72.0,75.8,66.4,4.7,0,,,,,
18,Caucasian,9-10,37.3,38.0,42.0,32.6,4.7,0,,,,,
19,Caucasian,11-12,20.9,19.0,25.6,16.1,4.7,0,,,,,
20,Caucasian,13-14,12.0,14.0,16.7,7.2,4.7,0,,,,,
21,Hispanic,1-2,11.8,6.0,16.5,7.1,4.7,0,,,,,
22,Hispanic,3-4,5.5,3.0,10.2,0.7,4.7,0,,,,,
23,Hispanic,5-6,3.1,3.0,7.8,-1.6,4.7,0,,,,,
24,Hispanic,7-8,2.4,6.0,7.1,-2.4,4.7,0,,,,,
25,Hispanic,9-10,0.3,2.0,5.0,-4.4,4.7,0,,,,,
26,Hispanic,11-12,-0.9,1.0,3.8,-5.6,4.7,0,,,,,
27,Hispanic,13-14,-1.4,0.0,3.3,-6.1,4.7,0,,,,,
28,Other,1-2,10.3,10.0,15.0,5.6,4.7,0,,,,,
29,Other,3-4,-1.8,1.0,2.9,-6.5,4.7,0,,,,,
30,Other,5-6,4.1,1.0,8.8,-0.7,4.7,0,,,,,
31,Other,7-8,4.0,2.0,8.7,-0.7,4.7,0,,,,,
32,Other,9-10,5.0,1.0,9.7,0.3,4.7,0,,,,,
33,Other,11-12,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
34,Other,13-14,1.9,1.0,6.6,-2.8,4.7,0,,,,,
35,African American,1-2,60.6,63.0,62.9,58.2,2.4,1,55.2,63.0,50.5,60.0,4.7
36,African American,3-4,78.6,77.0,80.9,76.2,2.4,1,75.2,77.0,70.5,79.9,4.7
37,African American,5-6,38.8,37.0,41.2,36.5,2.4,1,38.9,37.0,34.2,43.7,4.7
38,African American,7-8,19.6,25.0,22.0,17.2,2.4,1,14.5,25.0,9.8,19.2,4.7
39,African American,9-10,6.7,9.0,9.1,4.3,2.4,1,6.0,9.0,1.3,10.8,4.7
40,African American,11-12,5.9,8.0,8.2,3.5,2.4,1,0.4,8.0,-4.3,5.1,4.7
41,African American,13-14,0.0,3.0,2.4,-2.3,2.4,1,1.3,3.0,-3.4,6.0,4.7
42,Asian,1-2,-1.1,1.0,1.3,-3.4,2.4,1,-0.6,1.0,-5.3,4.1,4.7
43,Asian,3-4,4.6,4.0,7.0,2.3,2.4,1,4.6,4.0,-0.1,9.3,4.7
44,Asian,5-6,1.2,2.0,3.5,-1.2,2.4,1,-4.6,2.0,-9.3,0.1,4.7
45,Asian,7-8,1.5,0.0,3.9,-0.8,2.4,1,4.4,0.0,-0.3,9.1,4.7
46,Asian,9-10,-0.6,0.0,1.7,-3.0,2.4,1,-4.4,0.0,-9.1,0.3,4.7
47,Asian,11-12,-0.2,0.0,2.1,-2.6,2.4,1,-3.4,0.0,-8.2,1.3,4.7
48,Asian,13-14,0.7,0.0,3.0,-1.7,2.4,1,-0.0,0.0,-4.7,4.7,4.7
49,Caucasian,1-2,228.9,226.0,231.3,226.6,2.4,1,228.4,226.0,223.7,233.1,4.7
50,Caucasian,3-4,237.6,233.0,240.0,235.2,2.4,1,242.4,233.0,237.7,247.1,4.7
51,Caucasian,5-6,134.3,132.0,136.7,131.9,2.4,1,134.4,132.0,129.7,139.2,4.7
52,Caucasian,7-8,71.4,72.0,73.8,69.1,2.4,1,71.1,72.0,66.4,75.8,4.7
53,Caucasian,9-10,39.8,38.0,42.2,37.5,2.4,1,37.3,38.0,32.6,42.0,4.7
54,Caucasian,11-12,20.8,19.0,23.1,18.4,2.4,1,20.9,19.0,16.1,25.6,4.7
55,Caucasian,13-14,11.2,14.0,13.5,8.8,2.4,1,12.0,14.0,7.2,16.7,4.7
56,Hispanic,1-2,10.9,6.0,13.3,8.6,2.4,1,11.8,6.0,7.1,16.5,4.7
57,Hispanic,3-4,3.7,3.0,6.1,1.3,2.4,1,5.5,3.0,0.7,10.2,4.7
58,Hispanic,5-6,2.6,3.0,5.0,0.2,2.4,1,3.1,3.0,-1.6,7.8,4.7
59,Hispanic,7-8,0.0,6.0,2.4,-2.3,2.4,1,2.4,6.0,-2.4,7.1,4.7
60,Hispanic,9-10,1.7,2.0,4.0,-0.7,2.4,1,0.3,2.0,-4.4,5.0,4.7
61,Hispanic,11-12,1.6,1.0,4.0,-0.7,2.4,1,-0.9,1.0,-5.6,3.8,4.7
62,Hispanic,13-14,1.9,0.0,4.3,-0.4,2.4,1,-1.4,0.0,-6.1,3.3,4.7
63,Other,1-2,12.2,10.0,14.6,9.9,2.4,1,10.3,10.0,5.6,15.0,4.7
64,Other,3-4,-2.1,1.0,0.2,-4.5,2.4,1,-1.8,1.0,-6.5,2.9,4.7
65,Other,5-6,2.0,1.0,4.4,-0.3,2.4,1,4.1,1.0,-0.7,8.8,4.7
66,Other,7-8,2.6,2.0,4.9,0.2,2.4,1,4.0,2.0,-0.7,8.7,4.7
67,Other,9-10,3.3,1.0,5.6,0.9,2.4,1,5.0,1.0,0.3,9.7,4.7
68,Other,11-12,-1.0,0.0,1.4,-3.4,2.4,1,-2.1,0.0,-6.8,2.6,4.7
69,Other,13-14,1.5,1.0,3.9,-0.8,2.4,1,1.9,1.0,-2.8,6.6,4.7
70,African American,1-2,62.3,63.0,63.9,60.7,1.6,2,60.6,63.0,58.2,62.9,2.4
71,African American,3-4,75.1,77.0,76.7,73.5,1.6,2,78.6,77.0,76.2,80.9,2.4
72,African American,5-6,38.2,37.0,39.8,36.7,1.6,2,38.8,37.0,36.5,41.2,2.4
73,African American,7-8,21.3,25.0,22.8,19.7,1.6,2,19.6,25.0,17.2,22.0,2.4
74,African American,9-10,8.0,9.0,9.6,6.4,1.6,2,6.7,9.0,4.3,9.1,2.4
75,African American,11-12,7.5,8.0,9.1,5.9,1.6,2,5.9,8.0,3.5,8.2,2.4
76,African American,13-14,-1.6,3.0,-0.0,-3.2,1.6,2,0.0,3.0,-2.3,2.4,2.4
77,Asian,1-2,-0.1,1.0,1.4,-1.7,1.6,2,-1.1,1.0,-3.4,1.3,2.4
78,Asian,3-4,5.0,4.0,6.6,3.5,1.6,2,4.6,4.0,2.3,7.0,2.4
79,Asian,5-6,0.1,2.0,1.7,-1.4,1.6,2,1.2,2.0,-1.2,3.5,2.4
80,Asian,7-8,1.3,0.0,2.9,-0.3,1.6,2,1.5,0.0,-0.8,3.9,2.4
81,Asian,9-10,-1.8,0.0,-0.2,-3.3,1.6,2,-0.6,0.0,-3.0,1.7,2.4
82,Asian,11-12,-0.2,0.0,1.3,-1.8,1.6,2,-0.2,0.0,-2.6,2.1,2.4
83,Asian,13-14,4.0,0.0,5.6,2.5,1.6,2,0.7,0.0,-1.7,3.0,2.4
84,Caucasian,1-2,228.5,226.0,230.1,226.9,1.6,2,228.9,226.0,226.6,231.3,2.4
85,Caucasian,3-4,236.0,233.0,237.6,234.4,1.6,2,237.6,233.0,235.2,240.0,2.4
86,Caucasian,5-6,135.5,132.0,137.1,134.0,1.6,2,134.3,132.0,131.9,136.7,2.4
87,Caucasian,7-8,72.3,72.0,73.9,70.7,1.6,2,71.4,72.0,69.1,73.8,2.4
88,Caucasian,9-10,33.1,38.0,34.7,31.6,1.6,2,39.8,38.0,37.5,42.2,2.4
89,Caucasian,11-12,20.7,19.0,22.2,19.1,1.6,2,20.8,19.0,18.4,23.1,2.4
90,Caucasian,13-14,12.3,14.0,13.9,10.7,1.6,2,11.2,14.0,8.8,13.5,2.4
91,Hispanic,1-2,9.1,6.0,10.7,7.6,1.6,2,10.9,6.0,8.6,13.3,2.4
92,Hispanic,3-4,3.1,3.0,4.7,1.5,1.6,2,3.7,3.0,1.3,6.1,2.4
93,Hispanic,5-6,2.1,3.0,3.7,0.5,1.6,2,2.6,3.0,0.2,5.0,2.4
94,Hispanic,7-8,2.9,6.0,4.5,1.3,1.6,2,0.0,6.0,-2.3,2.4,2.4
95,Hispanic,9-10,2.4,2.0,4.0,0.8,1.6,2,1.7,2.0,-0.7,4.0,2.4
96,Hispanic,11-12,0.2,1.0,1.7,-1.4,1.6,2,1.6,1.0,-0.7,4.0,2.4
97,Hispanic,13-14,2.1,0.0,3.7,0.5,1.6,2,1.9,0.0,-0.4,4.3,2.4
98,Other,1-2,12.2,10.0,13.8,10.6,1.6,2,12.2,10.0,9.9,14.6,2.4
99,Other,3-4,-1.9,1.0,-0.4,-3.5,1.6,2,-2.1,1.0,-4.5,0.2,2.4
100,Other,5-6,1.2,1.0,2.8,-0.3,1.6,2,2.0,1.0,-0.3,4.4,2.4
101,Other,7-8,1.7,2.0,3.3,0.1,1.6,2,2.6,2.0,0.2,4.9,2.4
102,Other,9-10,4.3,1.0,5.8,2.7,1.6,2,3.3,1.0,0.9,5.6,2.4
103,Other,11-12,1.4,0.0,3.0,-0.1,1.6,2,-1.0,0.0,-3.4,1.4,2.4
104,Other,13-14,1.7,1.0,3.2,0.1,1.6,2,1.5,1.0,-0.8,3.9,2.4
105,African American,1-2,62.8,63.0,64.0,61.6,1.2,3,62.3,63.0,60.7,63.9,1.6
106,African American,3-4,75.2,77.0,76.4,74.0,1.2,3,75.1,77.0,73.5,76.7,1.6
107,African American,5-6,38.0,37.0,39.1,36.8,1.2,3,38.2,37.0,36.7,39.8,1.6
108,African American,7-8,21.9,25.0,23.0,20.7,1.2,3,21.3,25.0,19.7,22.8,1.6
109,African American,9-10,6.8,9.0,8.0,5.6,1.2,3,8.0,9.0,6.4,9.6,1.6
110,African American,11-12,6.2,8.0,7.4,5.0,1.2,3,7.5,8.0,5.9,9.1,1.6
111,African American,13-14,-1.0,3.0,0.2,-2.2,1.2,3,-1.6,3.0,-3.2,-0.0,1.6
112,Asian,1-2,-1.6,1.0,-0.4,-2.8,1.2,3,-0.1,1.0,-1.7,1.4,1.6
113,Asian,3-4,5.5,4.0,6.6,4.3,1.2,3,5.0,4.0,3.5,6.6,1.6
114,Asian,5-6,0.6,2.0,1.8,-0.6,1.2,3,0.1,2.0,-1.4,1.7,1.6
115,Asian,7-8,0.5,0.0,1.6,-0.7,1.2,3,1.3,0.0,-0.3,2.9,1.6
116,Asian,9-10,-0.5,0.0,0.7,-1.7,1.2,3,-1.8,0.0,-3.3,-0.2,1.6
117,Asian,11-12,-0.5,0.0,0.7,-1.7,1.2,3,-0.2,0.0,-1.8,1.3,1.6
118,Asian,13-14,2.2,0.0,3.4,1.1,1.2,3,4.0,0.0,2.5,5.6,1.6
119,Caucasian,1-2,228.2,226.0,229.4,227.0,1.2,3,228.5,226.0,226.9,230.1,1.6
120,Caucasian,3-4,234.8,233.0,235.9,233.6,1.2,3,236.0,233.0,234.4,237.6,1.6
121,Caucasian,5-6,134.1,132.0,135.3,132.9,1.2,3,135.5,132.0,134.0,137.1,1.6
122,Caucasian,7-8,73.4,72.0,74.6,72.3,1.2,3,72.3,72.0,70.7,73.9,1.6
123,Caucasian,9-10,34.4,38.0,35.6,33.2,1.2,3,33.1,38.0,31.6,34.7,1.6
124,Caucasian,11-12,20.8,19.0,22.0,19.6,1.2,3,20.7,19.0,19.1,22.2,1.6
125,Caucasian,13-14,14.0,14.0,15.2,12.9,1.2,3,12.3,14.0,10.7,13.9,1.6
126,Hispanic,1-2,8.4,6.0,9.6,7.2,1.2,3,9.1,6.0,7.6,10.7,1.6
127,Hispanic,3-4,2.0,3.0,3.2,0.8,1.2,3,3.1,3.0,1.5,4.7,1.6
128,Hispanic,5-6,4.5,3.0,5.7,3.3,1.2,3,2.1,3.0,0.5,3.7,1.6
129,Hispanic,7-8,4.5,6.0,5.7,3.3,1.2,3,2.9,6.0,1.3,4.5,1.6
130,Hispanic,9-10,2.6,2.0,3.8,1.4,1.2,3,2.4,2.0,0.8,4.0,1.6
131,Hispanic,11-12,-0.4,1.0,0.8,-1.6,1.2,3,0.2,1.0,-1.4,1.7,1.6
132,Hispanic,13-14,3.9,0.0,5.1,2.8,1.2,3,2.1,0.0,0.5,3.7,1.6
133,Other,1-2,11.5,10.0,12.7,10.3,1.2,3,12.2,10.0,10.6,13.8,1.6
134,Other,3-4,0.6,1.0,1.8,-0.6,1.2,3,-1.9,1.0,-3.5,-0.4,1.6
135,Other,5-6,0.8,1.0,2.0,-0.4,1.2,3,1.2,1.0,-0.3,2.8,1.6
136,Other,7-8,2.5,2.0,3.6,1.3,1.2,3,1.7,2.0,0.1,3.3,1.6
137,Other,9-10,5.9,1.0,7.1,4.8,1.2,3,4.3,1.0,2.7,5.8,1.6
138,Other,11-12,1.5,0.0,2.7,0.3,1.2,3,1.4,0.0,-0.1,3.0,1.6
139,Other,13-14,1.1,1.0,2.3,-0.1,1.2,3,1.7,1.0,0.1,3.2,1.6
140,African American,1-2,62.9,63.0,63.8,61.9,0.9,4,62.8,63.0,61.6,64.0,1.2
141,African American,3-4,75.6,77.0,76.5,74.6,0.9,4,75.2,77.0,74.0,76.4,1.2
142,African American,5-6,36.7,37.0,37.7,35.8,0.9,4,38.0,37.0,36.8,39.1,1.2
143,African American,7-8,23.1,25.0,24.1,22.2,0.9,4,21.9,25.0,20.7,23.0,1.2
144,African American,9-10,9.0,9.0,9.9,8.0,0.9,4,6.8,9.0,5.6,8.0,1.2
145,African American,11-12,6.7,8.0,7.6,5.7,0.9,4,6.2,8.0,5.0,7.4,1.2
146,African American,13-14,-0.4,3.0,0.6,-1.3,0.9,4,-1.0,3.0,-2.2,0.2,1.2
147,Asian,1-2,-1.2,1.0,-0.3,-2.2,0.9,4,-1.6,1.0,-2.8,-0.4,1.2
148,Asian,3-4,5.3,4.0,6.2,4.4,0.9,4,5.5,4.0,4.3,6.6,1.2
149,Asian,5-6,0.8,2.0,1.7,-0.2,0.9,4,0.6,2.0,-0.6,1.8,1.2
150,Asian,7-8,-0.4,0.0,0.5,-1.4,0.9,4,0.5,0.0,-0.7,1.6,1.2
151,Asian,9-10,0.4,0.0,1.4,-0.5,0.9,4,-0.5,0.0,-1.7,0.7,1.2
152,Asian,11-12,-0.6,0.0,0.3,-1.6,0.9,4,-0.5,0.0,-1.7,0.7,1.2
153,Asian,13-14,0.7,0.0,1.7,-0.2,0.9,4,2.2,0.0,1.1,3.4,1.2
154,Caucasian,1-2,227.7,226.0,228.7,226.8,0.9,4,228.2,226.0,227.0,229.4,1.2
155,Caucasian,3-4,233.5,233.0,234.4,232.6,0.9,4,234.8,233.0,233.6,235.9,1.2
156,Caucasian,5-6,134.0,132.0,135.0,133.1,0.9,4,134.1,132.0,132.9,135.3,1.2
157,Caucasian,7-8,71.8,72.0,72.7,70.8,0.9,4,73.4,72.0,72.3,74.6,1.2
158,Caucasian,9-10,31.7,38.0,32.7,30.8,0.9,4,34.4,38.0,33.2,35.6,1.2
159,Caucasian,11-12,19.3,19.0,20.2,18.4,0.9,4,20.8,19.0,19.6,22.0,1.2
160,Caucasian,13-14,14.7,14.0,15.6,13.7,0.9,4,14.0,14.0,12.9,15.2,1.2
161,Hispanic,1-2,8.8,6.0,9.7,7.8,0.9,4,8.4,6.0,7.2,9.6,1.2
162,Hispanic,3-4,2.8,3.0,3.7,1.9,0.9,4,2.0,3.0,0.8,3.2,1.2
163,Hispanic,5-6,3.7,3.0,4.6,2.7,0.9,4,4.5,3.0,3.3,5.7,1.2
164,Hispanic,7-8,4.8,6.0,5.7,3.9,0.9,4,4.5,6.0,3.3,5.7,1.2
165,Hispanic,9-10,2.5,2.0,3.5,1.6,0.9,4,2.6,2.0,1.4,3.8,1.2
166,Hispanic,11-12,-0.5,1.0,0.5,-1.4,0.9,4,-0.4,1.0,-1.6,0.8,1.2
167,Hispanic,13-14,3.0,0.0,3.9,2.0,0.9,4,3.9,0.0,2.8,5.1,1.2
168,Other,1-2,10.1,10.0,11.0,9.2,0.9,4,11.5,10.0,10.3,12.7,1.2
169,Other,3-4,1.2,1.0,2.1,0.2,0.9,4,0.6,1.0,-0.6,1.8,1.2
170,Other,5-6,1.3,1.0,2.2,0.3,0.9,4,0.8,1.0,-0.4,2.0,1.2
171,Other,7-8,-0.9,2.0,0.0,-1.9,0.9,4,2.5,2.0,1.3,3.6,1.2
172,Other,9-10,4.5,1.0,5.4,3.5,0.9,4,5.9,1.0,4.8,7.1,1.2
173,Other,11-12,0.8,0.0,1.7,-0.1,0.9,4,1.5,0.0,0.3,2.7,1.2
174,Other,13-14,1.6,1.0,2.6,0.7,0.9,4,1.1,1.0,-0.1,2.3,1.2
175,African American,1-2,63.5,63.0,64.3,62.8,0.8,5,62.9,63.0,61.9,63.8,0.9
176,African American,3-4,76.0,77.0,76.8,75.2,0.8,5,75.6,77.0,74.6,76.5,0.9
177,African American,5-6,36.7,37.0,37.4,35.9,0.8,5,36.7,37.0,35.8,37.7,0.9
178,African American,7-8,23.2,25.0,24.0,22.4,0.8,5,23.1,25.0,22.2,24.1,0.9
179,African American,9-10,7.8,9.0,8.6,7.0,0.8,5,9.0,9.0,8.0,9.9,0.9
180,African American,11-12,7.8,8.0,8.6,7.0,0.8,5,6.7,8.0,5.7,7.6,0.9
181,African American,13-14,1.2,3.0,1.9,0.4,0.8,5,-0.4,3.0,-1.3,0.6,0.9
182,Asian,1-2,0.2,1.0,1.0,-0.6,0.8,5,-1.2,1.0,-2.2,-0.3,0.9
183,Asian,3-4,3.6,4.0,4.3,2.8,0.8,5,5.3,4.0,4.4,6.2,0.9
184,Asian,5-6,1.8,2.0,2.5,1.0,0.8,5,0.8,2.0,-0.2,1.7,0.9
185,Asian,7-8,-1.7,0.0,-0.9,-2.5,0.8,5,-0.4,0.0,-1.4,0.5,0.9
186,Asian,9-10,2.2,0.0,2.9,1.4,0.8,5,0.4,0.0,-0.5,1.4,0.9
187,Asian,11-12,-0.1,0.0,0.7,-0.9,0.8,5,-0.6,0.0,-1.6,0.3,0.9
188,Asian,13-14,1.5,0.0,2.3,0.7,0.8,5,0.7,0.0,-0.2,1.7,0.9
189,Caucasian,1-2,228.4,226.0,229.1,227.6,0.8,5,227.7,226.0,226.8,228.7,0.9
190,Caucasian,3-4,233.8,233.0,234.6,233.0,0.8,5,233.5,233.0,232.6,234.4,0.9
191,Caucasian,5-6,134.6,132.0,135.4,133.8,0.8,5,134.0,132.0,133.1,135.0,0.9
192,Caucasian,7-8,70.2,72.0,71.0,69.4,0.8,5,71.8,72.0,70.8,72.7,0.9
193,Caucasian,9-10,33.0,38.0,33.8,32.2,0.8,5,31.7,38.0,30.8,32.7,0.9
194,Caucasian,11-12,19.9,19.0,20.7,19.1,0.8,5,19.3,19.0,18.4,20.2,0.9
195,Caucasian,13-14,15.4,14.0,16.2,14.6,0.8,5,14.7,14.0,13.7,15.6,0.9
196,Hispanic,1-2,8.3,6.0,9.1,7.5,0.8,5,8.8,6.0,7.8,9.7,0.9
197,Hispanic,3-4,2.9,3.0,3.7,2.2,0.8,5,2.8,3.0,1.9,3.7,0.9
198,Hispanic,5-6,3.1,3.0,3.9,2.3,0.8,5,3.7,3.0,2.7,4.6,0.9
199,Hispanic,7-8,4.9,6.0,5.7,4.1,0.8,5,4.8,6.0,3.9,5.7,0.9
200,Hispanic,9-10,3.1,2.0,3.9,2.3,0.8,5,2.5,2.0,1.6,3.5,0.9
201,Hispanic,11-12,1.5,1.0,2.3,0.8,0.8,5,-0.5,1.0,-1.4,0.5,0.9
202,Hispanic,13-14,2.7,0.0,3.5,1.9,0.8,5,3.0,0.0,2.0,3.9,0.9
