,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,19.1,23.0,23.8,14.4,4.7,0,,,,,
1,Strongly disagree,Instructor 2,18.2,16.0,22.9,13.5,4.7,0,,,,,
2,Strongly disagree,Instructor 3,23.9,26.0,28.6,19.1,4.7,0,,,,,
3,Disagree,Instructor 1,43.2,43.0,47.9,38.5,4.7,0,,,,,
4,Disagree,Instructor 2,29.2,41.0,33.9,24.5,4.7,0,,,,,
5,Disagree,Instructor 3,31.4,26.0,36.1,26.7,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,14.0,23.0,18.7,9.3,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,67.2,59.0,71.9,62.5,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,86.7,91.0,91.4,82.0,4.7,0,,,,,
9,Agree,Instructor 1,49.1,51.0,53.8,44.4,4.7,0,,,,,
10,Agree,Instructor 2,93.3,86.0,98.0,88.6,4.7,0,,,,,
11,Agree,Instructor 3,71.1,67.0,75.8,66.4,4.7,0,,,,,
12,Strongly agree,Instructor 1,191.0,209.0,195.7,186.3,4.7,0,,,,,
13,Strongly agree,Instructor 2,159.1,159.0,163.9,154.4,4.7,0,,,,,
14,Strongly agree,Instructor 3,80.4,80.0,85.1,75.7,4.7,0,,,,,
15,Strongly disagree,Instructor 1,20.2,23.0,22.6,17.9,2.4,1,19.1,23.0,14.4,23.8,4.7
16,Strongly disagree,Instructor 2,17.8,16.0,20.1,15.4,2.4,1,18.2,16.0,13.5,22.9,4.7
17,Strongly disagree,Instructor 3,24.8,26.0,27.2,22.5,2.4,1,23.9,26.0,19.1,28.6,4.7
18,Disagree,Instructor 1,44.8,43.0,47.1,42.4,2.4,1,43.2,43.0,38.5,47.9,4.7
19,Disagree,Instructor 2,34.2,41.0,36.6,31.8,2.4,1,29.2,41.0,24.5,33.9,4.7
20,Disagree,Instructor 3,29.6,26.0,31.9,27.2,2.4,1,31.4,26.0,26.7,36.1,4.7
21,Neither agree nor disagree,Instructor 1,17.8,23.0,20.1,15.4,2.4,1,14.0,23.0,9.3,18.7,4.7
22,Neither agree nor disagree,Instructor 2,62.4,59.0,64.8,60.1,2.4,1,67.2,59.0,62.5,71.9,4.7
23,Neither agree nor disagree,Instructor 3,94.1,91.0,96.4,91.7,2.4,1,86.7,91.0,82.0,91.4,4.7
24,Agree,Instructor 1,50.5,51.0,52.9,48.2,2.4,1,49.1,51.0,44.4,53.8,4.7
25,Agree,Instructor 2,90.9,86.0,93.3,88.6,2.4,1,93.3,86.0,88.6,98.0,4.7
26,Agree,Instructor 3,70.8,67.0,73.1,68.4,2.4,1,71.1,67.0,66.4,75.8,4.7
27,Strongly agree,Instructor 1,199.7,209.0,202.0,197.3,2.4,1,191.0,209.0,186.3,195.7,4.7
28,Strongly agree,Instructor 2,158.9,159.0,161.3,156.5,2.4,1,159.1,159.0,154.4,163.9,4.7
29,Strongly agree,Instructor 3,79.8,80.0,82.2,77.5,2.4,1,80.4,80.0,75.7,85.1,4.7
30,Strongly disagree,Instructor 1,21.1,23.0,22.7,19.5,1.6,2,20.2,23.0,17.9,22.6,2.4
31,Strongly disagree,Instructor 2,14.2,16.0,15.8,12.7,1.6,2,17.8,16.0,15.4,20.1,2.4
32,Strongly disagree,Instructor 3,23.2,26.0,24.8,21.7,1.6,2,24.8,26.0,22.5,27.2,2.4
33,Disagree,Instructor 1,44.9,43.0,46.5,43.3,1.6,2,44.8,43.0,42.4,47.1,2.4
34,Disagree,Instructor 2,36.8,41.0,38.4,35.2,1.6,2,34.2,41.0,31.8,36.6,2.4
35,Disagree,Instructor 3,27.8,26.0,29.4,26.2,1.6,2,29.6,26.0,27.2,31.9,2.4
36,Neither agree nor disagree,Instructor 1,18.6,23.0,20.2,17.0,1.6,2,17.8,23.0,15.4,20.1,2.4
37,Neither agree nor disagree,Instructor 2,58.8,59.0,60.4,57.3,1.6,2,62.4,59.0,60.1,64.8,2.4
38,Neither agree nor disagree,Instructor 3,93.1,91.0,94.7,91.5,1.6,2,94.1,91.0,91.7,96.4,2.4
39,Agree,Instructor 1,50.5,51.0,52.1,48.9,1.6,2,50.5,51.0,48.2,52.9,2.4
40,Agree,Instructor 2,89.5,86.0,91.0,87.9,1.6,2,90.9,86.0,88.6,93.3,2.4
41,Agree,Instructor 3,70.6,67.0,72.1,69.0,1.6,2,70.8,67.0,68.4,73.1,2.4
42,Strongly agree,Instructor 1,201.1,209.0,202.7,199.6,1.6,2,199.7,209.0,197.3,202.0,2.4
43,Strongly agree,Instructor 2,158.3,159.0,159.8,156.7,1.6,2,158.9,159.0,156.5,161.3,2.4
44,Strongly agree,Instructor 3,80.2,80.0,81.8,78.7,1.6,2,79.8,80.0,77.5,82.2,2.4
45,Strongly disagree,Instructor 1,21.5,23.0,22.7,20.3,1.2,3,21.1,23.0,19.5,22.7,1.6
46,Strongly disagree,Instructor 2,15.9,16.0,17.1,14.8,1.2,3,14.2,16.0,12.7,15.8,1.6
47,Strongly disagree,Instructor 3,23.2,26.0,24.4,22.0,1.2,3,23.2,26.0,21.7,24.8,1.6
48,Disagree,Instructor 1,46.2,43.0,47.4,45.1,1.2,3,44.9,43.0,43.3,46.5,1.6
49,Disagree,Instructor 2,36.3,41.0,37.4,35.1,1.2,3,36.8,41.0,35.2,38.4,1.6
50,Disagree,Instructor 3,25.0,26.0,26.2,23.9,1.2,3,27.8,26.0,26.2,29.4,1.6
51,Neither agree nor disagree,Instructor 1,20.0,23.0,21.2,18.9,1.2,3,18.6,23.0,17.0,20.2,1.6
52,Neither agree nor disagree,Instructor 2,59.1,59.0,60.3,58.0,1.2,3,58.8,59.0,57.3,60.4,1.6
53,Neither agree nor disagree,Instructor 3,93.6,91.0,94.8,92.5,1.2,3,93.1,91.0,91.5,94.7,1.6
54,Agree,Instructor 1,52.4,51.0,53.6,51.2,1.2,3,50.5,51.0,48.9,52.1,1.6
55,Agree,Instructor 2,88.9,86.0,90.1,87.8,1.2,3,89.5,86.0,87.9,91.0,1.6
56,Agree,Instructor 3,71.2,67.0,72.4,70.1,1.2,3,70.6,67.0,69.0,72.1,1.6
57,Strongly agree,Instructor 1,203.3,209.0,204.5,202.1,1.2,3,201.1,209.0,199.6,202.7,1.6
58,Strongly agree,Instructor 2,158.1,159.0,159.3,156.9,1.2,3,158.3,159.0,156.7,159.8,1.6
59,Strongly agree,Instructor 3,79.8,80.0,81.0,78.6,1.2,3,80.2,80.0,78.7,81.8,1.6
60,Strongly disagree,Instructor 1,22.9,23.0,23.8,22.0,0.9,4,21.5,23.0,20.3,22.7,1.2
61,Strongly disagree,Instructor 2,17.2,16.0,18.1,16.2,0.9,4,15.9,16.0,14.8,17.1,1.2
62,Strongly disagree,Instructor 3,20.8,26.0,21.7,19.9,0.9,4,23.2,26.0,22.0,24.4,1.2
63,Disagree,Instructor 1,45.8,43.0,46.8,44.9,0.9,4,46.2,43.0,45.1,47.4,1.2
64,Disagree,Instructor 2,37.0,41.0,38.0,36.1,0.9,4,36.3,41.0,35.1,37.4,1.2
65,Disagree,Instructor 3,25.4,26.0,26.3,24.5,0.9,4,25.0,26.0,23.9,26.2,1.2
66,Neither agree nor disagree,Instructor 1,20.8,23.0,21.7,19.8,0.9,4,20.0,23.0,18.9,21.2,1.2
67,Neither agree nor disagree,Instructor 2,58.8,59.0,59.7,57.9,0.9,4,59.1,59.0,58.0,60.3,1.2
68,Neither agree nor disagree,Instructor 3,91.8,91.0,92.7,90.9,0.9,4,93.6,91.0,92.5,94.8,1.2
69,Agree,Instructor 1,52.7,51.0,53.7,51.8,0.9,4,52.4,51.0,51.2,53.6,1.2
70,Agree,Instructor 2,87.7,86.0,88.7,86.8,0.9,4,88.9,86.0,87.8,90.1,1.2
71,Agree,Instructor 3,69.8,67.0,70.8,68.9,0.9,4,71.2,67.0,70.1,72.4,1.2
72,Strongly agree,Instructor 1,204.3,209.0,205.2,203.3,0.9,4,203.3,209.0,202.1,204.5,1.2
73,Strongly agree,Instructor 2,158.1,159.0,159.1,157.2,0.9,4,158.1,159.0,156.9,159.3,1.2
74,Strongly agree,Instructor 3,80.8,80.0,81.8,79.9,0.9,4,79.8,80.0,78.6,81.0,1.2
75,Strongly disagree,Instructor 1,22.4,23.0,23.2,21.6,0.8,5,22.9,23.0,22.0,23.8,0.9
76,Strongly disagree,Instructor 2,16.9,16.0,17.6,16.1,0.8,5,17.2,16.0,16.2,18.1,0.9
77,Strongly disagree,Instructor 3,22.1,26.0,22.9,21.4,0.8,5,20.8,26.0,19.9,21.7,0.9
78,Disagree,Instructor 1,45.0,43.0,45.8,44.2,0.8,5,45.8,43.0,44.9,46.8,0.9
79,Disagree,Instructor 2,36.9,41.0,37.6,36.1,0.8,5,37.0,41.0,36.1,38.0,0.9
80,Disagree,Instructor 3,24.7,26.0,25.5,24.0,0.8,5,25.4,26.0,24.5,26.3,0.9
81,Neither agree nor disagree,Instructor 1,21.3,23.0,22.1,20.5,0.8,5,20.8,23.0,19.8,21.7,0.9
82,Neither agree nor disagree,Instructor 2,58.5,59.0,59.3,57.7,0.8,5,58.8,59.0,57.9,59.7,0.9
83,Neither agree nor disagree,Instructor 3,91.8,91.0,92.6,91.0,0.8,5,91.8,91.0,90.9,92.7,0.9
84,Agree,Instructor 1,52.7,51.0,53.4,51.9,0.8,5,52.7,51.0,51.8,53.7,0.9
85,Agree,Instructor 2,87.2,86.0,88.0,86.5,0.8,5,87.7,86.0,86.8,88.7,0.9
86,Agree,Instructor 3,69.1,67.0,69.9,68.3,0.8,5,69.8,67.0,68.9,70.8,0.9
87,Strongly agree,Instructor 1,204.5,209.0,205.3,203.7,0.8,5,204.3,209.0,203.3,205.2,0.9
88,Strongly agree,Instructor 2,156.0,159.0,156.8,155.2,0.8,5,158.1,159.0,157.2,159.1,0.9
89,Strongly agree,Instructor 3,78.5,80.0,79.3,77.8,0.8,5,80.8,80.0,79.9,81.8,0.9
90,Strongly disagree,Instructor 1,22.3,23.0,22.9,21.6,0.7,6,22.4,23.0,21.6,23.2,0.8
91,Strongly disagree,Instructor 2,16.4,16.0,17.1,15.7,0.7,6,16.9,16.0,16.1,17.6,0.8
92,Strongly disagree,Instructor 3,22.7,26.0,23.4,22.0,0.7,6,22.1,26.0,21.4,22.9,0.8
93,Disagree,Instructor 1,44.7,43.0,45.4,44.1,0.7,6,45.0,43.0,44.2,45.8,0.8
94,Disagree,Instructor 2,37.3,41.0,38.0,36.7,0.7,6,36.9,41.0,36.1,37.6,0.8
95,Disagree,Instructor 3,25.1,26.0,25.8,24.4,0.7,6,24.7,26.0,24.0,25.5,0.8
96,Neither agree nor disagree,Instructor 1,21.7,23.0,22.4,21.0,0.7,6,21.3,23.0,20.5,22.1,0.8
97,Neither agree nor disagree,Instructor 2,58.0,59.0,58.7,57.3,0.7,6,58.5,59.0,57.7,59.3,0.8
98,Neither agree nor disagree,Instructor 3,92.0,91.0,92.7,91.4,0.7,6,91.8,91.0,91.0,92.6,0.8
99,Agree,Instructor 1,52.6,51.0,53.3,51.9,0.7,6,52.7,51.0,51.9,53.4,0.8
100,Agree,Instructor 2,86.9,86.0,87.6,86.3,0.7,6,87.2,86.0,86.5,88.0,0.8
101,Agree,Instructor 3,70.6,67.0,71.3,70.0,0.7,6,69.1,67.0,68.3,69.9,0.8
102,Strongly agree,Instructor 1,205.0,209.0,205.6,204.3,0.7,6,204.5,209.0,203.7,205.3,0.8
