,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,63.6,59.0,68.3,58.9,4.7,0,,,,,
1,African American,3-4,65.2,56.0,69.9,60.5,4.7,0,,,,,
2,African American,5-6,37.5,33.0,42.2,32.8,4.7,0,,,,,
3,African American,7-8,24.2,24.0,28.9,19.5,4.7,0,,,,,
4,African American,9-10,7.5,10.0,12.2,2.7,4.7,0,,,,,
5,African American,11-12,-2.6,10.0,2.1,-7.3,4.7,0,,,,,
6,African American,13-14,2.5,3.0,7.2,-2.2,4.7,0,,,,,
7,Asian,1-2,4.2,4.0,8.9,-0.6,4.7,0,,,,,
8,Asian,3-4,-0.1,0.0,4.6,-4.9,4.7,0,,,,,
9,Asian,5-6,1.4,1.0,6.1,-3.3,4.7,0,,,,,
10,Asian,7-8,1.3,1.0,6.0,-3.4,4.7,0,,,,,
11,Asian,9-10,2.5,0.0,7.2,-2.3,4.7,0,,,,,
12,Asian,11-12,1.8,0.0,6.6,-2.9,4.7,0,,,,,
13,Asian,13-14,0.9,0.0,5.6,-3.8,4.7,0,,,,,
14,Caucasian,1-2,233.2,235.0,237.9,228.5,4.7,0,,,,,
15,Caucasian,3-4,250.8,241.0,255.6,246.1,4.7,0,,,,,
16,Caucasian,5-6,130.7,132.0,135.4,125.9,4.7,0,,,,,
17,Caucasian,7-8,79.2,82.0,84.0,74.5,4.7,0,,,,,
18,Caucasian,9-10,20.2,27.0,25.0,15.5,4.7,0,,,,,
19,Caucasian,11-12,33.2,22.0,38.0,28.5,4.7,0,,,,,
20,Caucasian,13-14,11.5,16.0,16.2,6.7,4.7,0,,,,,
21,Hispanic,1-2,4.5,11.0,9.2,-0.2,4.7,0,,,,,
22,Hispanic,3-4,5.3,8.0,10.0,0.6,4.7,0,,,,,
23,Hispanic,5-6,3.2,4.0,7.9,-1.5,4.7,0,,,,,
24,Hispanic,7-8,5.2,0.0,10.0,0.5,4.7,0,,,,,
25,Hispanic,9-10,-0.2,1.0,4.5,-4.9,4.7,0,,,,,
26,Hispanic,11-12,12.6,1.0,17.3,7.9,4.7,0,,,,,
27,Hispanic,13-14,-8.5,1.0,-3.8,-13.2,4.7,0,,,,,
28,Other,1-2,4.1,5.0,8.8,-0.6,4.7,0,,,,,
29,Other,3-4,9.5,7.0,14.2,4.8,4.7,0,,,,,
30,Other,5-6,8.0,1.0,12.7,3.3,4.7,0,,,,,
31,Other,7-8,2.5,4.0,7.2,-2.2,4.7,0,,,,,
32,Other,9-10,0.5,1.0,5.2,-4.2,4.7,0,,,,,
33,Other,11-12,-2.1,0.0,2.7,-6.8,4.7,0,,,,,
34,Other,13-14,3.1,0.0,7.8,-1.6,4.7,0,,,,,
35,African American,1-2,57.0,59.0,59.4,54.7,2.4,1,63.6,59.0,58.9,68.3,4.7
36,African American,3-4,60.4,56.0,62.8,58.1,2.4,1,65.2,56.0,60.5,69.9,4.7
37,African American,5-6,33.6,33.0,36.0,31.2,2.4,1,37.5,33.0,32.8,42.2,4.7
38,African American,7-8,24.6,24.0,27.0,22.2,2.4,1,24.2,24.0,19.5,28.9,4.7
