,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,72.6,72.0,77.4,67.9,4.7,0,,,,,
1,Strongly disagree,2,16.3,11.0,21.0,11.6,4.7,0,,,,,
2,Strongly disagree,3,26.1,21.0,30.8,21.4,4.7,0,,,,,
3,Strongly disagree,4,20.3,17.0,25.0,15.6,4.7,0,,,,,
4,Strongly disagree,5,20.2,29.0,24.9,15.5,4.7,0,,,,,
5,Disagree,1,26.1,27.0,30.8,21.4,4.7,0,,,,,
6,Disagree,2,6.1,6.0,10.8,1.4,4.7,0,,,,,
7,Disagree,3,27.3,26.0,32.0,22.6,4.7,0,,,,,
8,Disagree,4,12.8,16.0,17.6,8.1,4.7,0,,,,,
9,Disagree,5,12.0,14.0,16.7,7.3,4.7,0,,,,,
10,Neither agree nor disagree,1,85.8,83.0,90.5,81.1,4.7,0,,,,,
11,Neither agree nor disagree,2,31.0,27.0,35.7,26.3,4.7,0,,,,,
12,Neither agree nor disagree,3,78.7,76.0,83.4,74.0,4.7,0,,,,,
13,Neither agree nor disagree,4,45.3,54.0,50.0,40.6,4.7,0,,,,,
14,Neither agree nor disagree,5,35.1,40.0,39.9,30.4,4.7,0,,,,,
15,Agree,1,56.5,59.0,61.3,51.8,4.7,0,,,,,
16,Agree,2,30.8,33.0,35.5,26.0,4.7,0,,,,,
17,Agree,3,116.2,112.0,120.9,111.5,4.7,0,,,,,
18,Agree,4,70.7,63.0,75.4,65.9,4.7,0,,,,,
19,Agree,5,28.4,28.0,33.2,23.7,4.7,0,,,,,
20,Strongly agree,1,47.6,45.0,52.3,42.9,4.7,0,,,,,
21,Strongly agree,2,20.9,21.0,25.7,16.2,4.7,0,,,,,
22,Strongly agree,3,59.0,58.0,63.7,54.3,4.7,0,,,,,
23,Strongly agree,4,43.8,40.0,48.5,39.1,4.7,0,,,,,
24,Strongly agree,5,21.7,22.0,26.4,17.0,4.7,0,,,,,
25,Strongly disagree,1,71.6,72.0,74.0,69.3,2.4,1,72.6,72.0,67.9,77.4,4.7
26,Strongly disagree,2,13.7,11.0,16.0,11.3,2.4,1,16.3,11.0,11.6,21.0,4.7
27,Strongly disagree,3,22.5,21.0,24.8,20.1,2.4,1,26.1,21.0,21.4,30.8,4.7
28,Strongly disagree,4,17.9,17.0,20.2,15.5,2.4,1,20.3,17.0,15.6,25.0,4.7
29,Strongly disagree,5,25.1,29.0,27.5,22.7,2.4,1,20.2,29.0,15.5,24.9,4.7
30,Disagree,1,25.8,27.0,28.1,23.4,2.4,1,26.1,27.0,21.4,30.8,4.7
31,Disagree,2,5.7,6.0,8.0,3.3,2.4,1,6.1,6.0,1.4,10.8,4.7
32,Disagree,3,25.5,26.0,27.9,23.2,2.4,1,27.3,26.0,22.6,32.0,4.7
33,Disagree,4,14.7,16.0,17.1,12.4,2.4,1,12.8,16.0,8.1,17.6,4.7
34,Disagree,5,11.1,14.0,13.5,8.7,2.4,1,12.0,14.0,7.3,16.7,4.7
35,Neither agree nor disagree,1,86.1,83.0,88.5,83.8,2.4,1,85.8,83.0,81.1,90.5,4.7
36,Neither agree nor disagree,2,27.1,27.0,29.4,24.7,2.4,1,31.0,27.0,26.3,35.7,4.7
37,Neither agree nor disagree,3,78.4,76.0,80.7,76.0,2.4,1,78.7,76.0,74.0,83.4,4.7
38,Neither agree nor disagree,4,49.3,54.0,51.7,47.0,2.4,1,45.3,54.0,40.6,50.0,4.7
39,Neither agree nor disagree,5,38.9,40.0,41.3,36.6,2.4,1,35.1,40.0,30.4,39.9,4.7
40,Agree,1,59.2,59.0,61.5,56.8,2.4,1,56.5,59.0,51.8,61.3,4.7
41,Agree,2,32.2,33.0,34.6,29.9,2.4,1,30.8,33.0,26.0,35.5,4.7
42,Agree,3,114.8,112.0,117.1,112.4,2.4,1,116.2,112.0,111.5,120.9,4.7
43,Agree,4,67.4,63.0,69.8,65.1,2.4,1,70.7,63.0,65.9,75.4,4.7
44,Agree,5,28.0,28.0,30.3,25.6,2.4,1,28.4,28.0,23.7,33.2,4.7
45,Strongly agree,1,46.3,45.0,48.7,43.9,2.4,1,47.6,45.0,42.9,52.3,4.7
46,Strongly agree,2,16.6,21.0,19.0,14.3,2.4,1,20.9,21.0,16.2,25.7,4.7
47,Strongly agree,3,59.4,58.0,61.8,57.0,2.4,1,59.0,58.0,54.3,63.7,4.7
48,Strongly agree,4,42.4,40.0,44.7,40.0,2.4,1,43.8,40.0,39.1,48.5,4.7
49,Strongly agree,5,23.2,22.0,25.6,20.9,2.4,1,21.7,22.0,17.0,26.4,4.7
50,Strongly disagree,1,73.4,72.0,75.0,71.9,1.6,2,71.6,72.0,69.3,74.0,2.4
51,Strongly disagree,2,14.4,11.0,15.9,12.8,1.6,2,13.7,11.0,11.3,16.0,2.4
52,Strongly disagree,3,21.6,21.0,23.1,20.0,1.6,2,22.5,21.0,20.1,24.8,2.4
53,Strongly disagree,4,18.2,17.0,19.7,16.6,1.6,2,17.9,17.0,15.5,20.2,2.4
54,Strongly disagree,5,26.5,29.0,28.0,24.9,1.6,2,25.1,29.0,22.7,27.5,2.4
55,Disagree,1,25.5,27.0,27.1,23.9,1.6,2,25.8,27.0,23.4,28.1,2.4
56,Disagree,2,6.0,6.0,7.6,4.5,1.6,2,5.7,6.0,3.3,8.0,2.4
57,Disagree,3,23.1,26.0,24.7,21.5,1.6,2,25.5,26.0,23.2,27.9,2.4
