,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,54.6,60.0,59.3,49.8,4.7,0,,,,,
1,Strongly disagree,2,15.5,13.0,20.2,10.7,4.7,0,,,,,
2,Strongly disagree,3,13.6,16.0,18.4,8.9,4.7,0,,,,,
3,Strongly disagree,4,13.7,18.0,18.4,9.0,4.7,0,,,,,
4,Strongly disagree,5,32.6,34.0,37.3,27.9,4.7,0,,,,,
5,Disagree,1,36.4,35.0,41.1,31.7,4.7,0,,,,,
6,Disagree,2,20.2,17.0,24.9,15.5,4.7,0,,,,,
7,Disagree,3,39.2,28.0,43.9,34.5,4.7,0,,,,,
8,Disagree,4,26.1,25.0,30.8,21.3,4.7,0,,,,,
9,Disagree,5,15.2,18.0,19.9,10.5,4.7,0,,,,,
10,Neither agree nor disagree,1,76.3,76.0,81.0,71.6,4.7,0,,,,,
11,Neither agree nor disagree,2,20.5,23.0,25.2,15.8,4.7,0,,,,,
12,Neither agree nor disagree,3,66.1,71.0,70.8,61.3,4.7,0,,,,,
13,Neither agree nor disagree,4,70.0,70.0,74.7,65.3,4.7,0,,,,,
14,Neither agree nor disagree,5,32.0,36.0,36.7,27.3,4.7,0,,,,,
15,Agree,1,44.1,45.0,48.9,39.4,4.7,0,,,,,
16,Agree,2,27.6,26.0,32.3,22.9,4.7,0,,,,,
17,Agree,3,128.0,129.0,132.7,123.3,4.7,0,,,,,
18,Agree,4,79.4,72.0,84.1,74.7,4.7,0,,,,,
19,Agree,5,29.7,27.0,34.4,25.0,4.7,0,,,,,
20,Strongly agree,1,38.9,38.0,43.6,34.2,4.7,0,,,,,
21,Strongly agree,2,15.1,14.0,19.8,10.4,4.7,0,,,,,
22,Strongly agree,3,55.9,58.0,60.6,51.2,4.7,0,,,,,
23,Strongly agree,4,33.3,31.0,38.0,28.6,4.7,0,,,,,
24,Strongly agree,5,18.1,20.0,22.9,13.4,4.7,0,,,,,
25,Strongly disagree,1,57.4,60.0,59.8,55.1,2.4,1,54.6,60.0,49.8,59.3,4.7
26,Strongly disagree,2,10.5,13.0,12.8,8.1,2.4,1,15.5,13.0,10.7,20.2,4.7
27,Strongly disagree,3,16.6,16.0,18.9,14.2,2.4,1,13.6,16.0,8.9,18.4,4.7
28,Strongly disagree,4,16.8,18.0,19.1,14.4,2.4,1,13.7,18.0,9.0,18.4,4.7
29,Strongly disagree,5,29.3,34.0,31.6,26.9,2.4,1,32.6,34.0,27.9,37.3,4.7
30,Disagree,1,29.2,35.0,31.6,26.9,2.4,1,36.4,35.0,31.7,41.1,4.7
31,Disagree,2,26.0,17.0,28.4,23.7,2.4,1,20.2,17.0,15.5,24.9,4.7
32,Disagree,3,34.0,28.0,36.3,31.6,2.4,1,39.2,28.0,34.5,43.9,4.7
33,Disagree,4,23.8,25.0,26.2,21.5,2.4,1,26.1,25.0,21.3,30.8,4.7
34,Disagree,5,16.1,18.0,18.4,13.7,2.4,1,15.2,18.0,10.5,19.9,4.7
35,Neither agree nor disagree,1,76.0,76.0,78.3,73.6,2.4,1,76.3,76.0,71.6,81.0,4.7
36,Neither agree nor disagree,2,26.5,23.0,28.9,24.1,2.4,1,20.5,23.0,15.8,25.2,4.7
37,Neither agree nor disagree,3,66.4,71.0,68.7,64.0,2.4,1,66.1,71.0,61.3,70.8,4.7
38,Neither agree nor disagree,4,70.9,70.0,73.3,68.6,2.4,1,70.0,70.0,65.3,74.7,4.7
39,Neither agree nor disagree,5,37.1,36.0,39.4,34.7,2.4,1,32.0,36.0,27.3,36.7,4.7
40,Agree,1,48.0,45.0,50.4,45.7,2.4,1,44.1,45.0,39.4,48.9,4.7
41,Agree,2,27.5,26.0,29.9,25.1,2.4,1,27.6,26.0,22.9,32.3,4.7
42,Agree,3,132.0,129.0,134.4,129.7,2.4,1,128.0,129.0,123.3,132.7,4.7
43,Agree,4,75.8,72.0,78.2,73.4,2.4,1,79.4,72.0,74.7,84.1,4.7
44,Agree,5,28.2,27.0,30.5,25.8,2.4,1,29.7,27.0,25.0,34.4,4.7
45,Strongly agree,1,40.5,38.0,42.9,38.2,2.4,1,38.9,38.0,34.2,43.6,4.7
46,Strongly agree,2,12.9,14.0,15.2,10.5,2.4,1,15.1,14.0,10.4,19.8,4.7
47,Strongly agree,3,58.0,58.0,60.3,55.6,2.4,1,55.9,58.0,51.2,60.6,4.7
48,Strongly agree,4,36.7,31.0,39.1,34.3,2.4,1,33.3,31.0,28.6,38.0,4.7
49,Strongly agree,5,21.7,20.0,24.1,19.4,2.4,1,18.1,20.0,13.4,22.9,4.7
50,Strongly disagree,1,56.8,60.0,58.4,55.2,1.6,2,57.4,60.0,55.1,59.8,2.4
51,Strongly disagree,2,10.2,13.0,11.8,8.6,1.6,2,10.5,13.0,8.1,12.8,2.4
52,Strongly disagree,3,22.2,16.0,23.8,20.7,1.6,2,16.6,16.0,14.2,18.9,2.4
53,Strongly disagree,4,16.5,18.0,18.1,14.9,1.6,2,16.8,18.0,14.4,19.1,2.4
54,Strongly disagree,5,32.4,34.0,34.0,30.8,1.6,2,29.3,34.0,26.9,31.6,2.4
55,Disagree,1,33.7,35.0,35.3,32.1,1.6,2,29.2,35.0,26.9,31.6,2.4
56,Disagree,2,22.8,17.0,24.4,21.2,1.6,2,26.0,17.0,23.7,28.4,2.4
57,Disagree,3,32.4,28.0,34.0,30.8,1.6,2,34.0,28.0,31.6,36.3,2.4
58,Disagree,4,24.8,25.0,26.4,23.3,1.6,2,23.8,25.0,21.5,26.2,2.4
59,Disagree,5,16.5,18.0,18.0,14.9,1.6,2,16.1,18.0,13.7,18.4,2.4
60,Neither agree nor disagree,1,73.5,76.0,75.1,71.9,1.6,2,76.0,76.0,73.6,78.3,2.4
61,Neither agree nor disagree,2,25.3,23.0,26.9,23.8,1.6,2,26.5,23.0,24.1,28.9,2.4
62,Neither agree nor disagree,3,67.1,71.0,68.7,65.6,1.6,2,66.4,71.0,64.0,68.7,2.4
63,Neither agree nor disagree,4,70.2,70.0,71.8,68.7,1.6,2,70.9,70.0,68.6,73.3,2.4
64,Neither agree nor disagree,5,37.5,36.0,39.0,35.9,1.6,2,37.1,36.0,34.7,39.4,2.4
65,Agree,1,47.3,45.0,48.9,45.8,1.6,2,48.0,45.0,45.7,50.4,2.4
66,Agree,2,30.3,26.0,31.9,28.7,1.6,2,27.5,26.0,25.1,29.9,2.4
67,Agree,3,130.8,129.0,132.4,129.3,1.6,2,132.0,129.0,129.7,134.4,2.4
68,Agree,4,72.2,72.0,73.8,70.7,1.6,2,75.8,72.0,73.4,78.2,2.4
69,Agree,5,25.7,27.0,27.3,24.2,1.6,2,28.2,27.0,25.8,30.5,2.4
70,Strongly agree,1,39.1,38.0,40.7,37.5,1.6,2,40.5,38.0,38.2,42.9,2.4
71,Strongly agree,2,13.0,14.0,14.5,11.4,1.6,2,12.9,14.0,10.5,15.2,2.4
72,Strongly agree,3,59.2,58.0,60.8,57.6,1.6,2,58.0,58.0,55.6,60.3,2.4
73,Strongly agree,4,32.8,31.0,34.4,31.2,1.6,2,36.7,31.0,34.3,39.1,2.4
