,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,23.1,18.0,27.8,18.4,4.7,0,,,,,
1,Strongly disagree,Instructor 2,11.6,13.0,16.3,6.9,4.7,0,,,,,
2,Strongly disagree,Instructor 3,39.4,36.0,44.1,34.7,4.7,0,,,,,
3,Disagree,Instructor 1,28.7,37.0,33.4,24.0,4.7,0,,,,,
4,Disagree,Instructor 2,25.9,31.0,30.6,21.2,4.7,0,,,,,
5,Disagree,Instructor 3,18.2,18.0,22.9,13.5,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,18.4,19.0,23.1,13.7,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,51.7,53.0,56.4,47.0,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,89.9,89.0,94.7,85.2,4.7,0,,,,,
9,Agree,Instructor 1,43.6,44.0,48.3,38.8,4.7,0,,,,,
10,Agree,Instructor 2,105.1,105.0,109.8,100.4,4.7,0,,,,,
11,Agree,Instructor 3,91.6,91.0,96.3,86.9,4.7,0,,,,,
12,Strongly agree,Instructor 1,188.1,187.0,192.9,183.4,4.7,0,,,,,
13,Strongly agree,Instructor 2,186.1,173.0,190.8,181.4,4.7,0,,,,,
14,Strongly agree,Instructor 3,89.4,86.0,94.1,84.7,4.7,0,,,,,
15,Strongly disagree,Instructor 1,21.5,18.0,23.8,19.1,2.4,1,23.1,18.0,18.4,27.8,4.7
16,Strongly disagree,Instructor 2,12.5,13.0,14.8,10.1,2.4,1,11.6,13.0,6.9,16.3,4.7
17,Strongly disagree,Instructor 3,35.4,36.0,37.8,33.0,2.4,1,39.4,36.0,34.7,44.1,4.7
18,Disagree,Instructor 1,37.0,37.0,39.3,34.6,2.4,1,28.7,37.0,24.0,33.4,4.7
19,Disagree,Instructor 2,28.1,31.0,30.4,25.7,2.4,1,25.9,31.0,21.2,30.6,4.7
20,Disagree,Instructor 3,19.1,18.0,21.4,16.7,2.4,1,18.2,18.0,13.5,22.9,4.7
21,Neither agree nor disagree,Instructor 1,26.1,19.0,28.5,23.8,2.4,1,18.4,19.0,13.7,23.1,4.7
22,Neither agree nor disagree,Instructor 2,51.2,53.0,53.6,48.9,2.4,1,51.7,53.0,47.0,56.4,4.7
23,Neither agree nor disagree,Instructor 3,90.2,89.0,92.5,87.8,2.4,1,89.9,89.0,85.2,94.7,4.7
24,Agree,Instructor 1,44.1,44.0,46.5,41.8,2.4,1,43.6,44.0,38.8,48.3,4.7
25,Agree,Instructor 2,108.5,105.0,110.9,106.2,2.4,1,105.1,105.0,100.4,109.8,4.7
26,Agree,Instructor 3,90.7,91.0,93.1,88.3,2.4,1,91.6,91.0,86.9,96.3,4.7
27,Strongly agree,Instructor 1,186.4,187.0,188.8,184.1,2.4,1,188.1,187.0,183.4,192.9,4.7
28,Strongly agree,Instructor 2,179.2,173.0,181.6,176.8,2.4,1,186.1,173.0,181.4,190.8,4.7
29,Strongly agree,Instructor 3,88.8,86.0,91.2,86.5,2.4,1,89.4,86.0,84.7,94.1,4.7
30,Strongly disagree,Instructor 1,20.1,18.0,21.6,18.5,1.6,2,21.5,18.0,19.1,23.8,2.4
31,Strongly disagree,Instructor 2,13.5,13.0,15.1,11.9,1.6,2,12.5,13.0,10.1,14.8,2.4
32,Strongly disagree,Instructor 3,36.4,36.0,38.0,34.9,1.6,2,35.4,36.0,33.0,37.8,2.4
33,Disagree,Instructor 1,36.4,37.0,37.9,34.8,1.6,2,37.0,37.0,34.6,39.3,2.4
34,Disagree,Instructor 2,28.0,31.0,29.5,26.4,1.6,2,28.1,31.0,25.7,30.4,2.4
35,Disagree,Instructor 3,18.3,18.0,19.8,16.7,1.6,2,19.1,18.0,16.7,21.4,2.4
36,Neither agree nor disagree,Instructor 1,24.5,19.0,26.0,22.9,1.6,2,26.1,19.0,23.8,28.5,2.4
37,Neither agree nor disagree,Instructor 2,50.7,53.0,52.3,49.2,1.6,2,51.2,53.0,48.9,53.6,2.4
38,Neither agree nor disagree,Instructor 3,89.3,89.0,90.9,87.7,1.6,2,90.2,89.0,87.8,92.5,2.4
39,Agree,Instructor 1,45.4,44.0,47.0,43.8,1.6,2,44.1,44.0,41.8,46.5,2.4
40,Agree,Instructor 2,109.0,105.0,110.6,107.4,1.6,2,108.5,105.0,106.2,110.9,2.4
41,Agree,Instructor 3,94.2,91.0,95.8,92.6,1.6,2,90.7,91.0,88.3,93.1,2.4
42,Strongly agree,Instructor 1,187.9,187.0,189.4,186.3,1.6,2,186.4,187.0,184.1,188.8,2.4
43,Strongly agree,Instructor 2,176.0,173.0,177.6,174.4,1.6,2,179.2,173.0,176.8,181.6,2.4
44,Strongly agree,Instructor 3,88.2,86.0,89.8,86.6,1.6,2,88.8,86.0,86.5,91.2,2.4
45,Strongly disagree,Instructor 1,17.8,18.0,18.9,16.6,1.2,3,20.1,18.0,18.5,21.6,1.6
46,Strongly disagree,Instructor 2,12.6,13.0,13.8,11.4,1.2,3,13.5,13.0,11.9,15.1,1.6
47,Strongly disagree,Instructor 3,37.9,36.0,39.1,36.7,1.2,3,36.4,36.0,34.9,38.0,1.6
48,Disagree,Instructor 1,36.3,37.0,37.5,35.2,1.2,3,36.4,37.0,34.8,37.9,1.6
49,Disagree,Instructor 2,27.7,31.0,28.9,26.5,1.2,3,28.0,31.0,26.4,29.5,1.6
50,Disagree,Instructor 3,17.3,18.0,18.4,16.1,1.2,3,18.3,18.0,16.7,19.8,1.6
51,Neither agree nor disagree,Instructor 1,23.4,19.0,24.6,22.2,1.2,3,24.5,19.0,22.9,26.0,1.6
52,Neither agree nor disagree,Instructor 2,50.7,53.0,51.9,49.5,1.2,3,50.7,53.0,49.2,52.3,1.6
53,Neither agree nor disagree,Instructor 3,87.2,89.0,88.3,86.0,1.2,3,89.3,89.0,87.7,90.9,1.6
54,Agree,Instructor 1,47.1,44.0,48.3,45.9,1.2,3,45.4,44.0,43.8,47.0,1.6
55,Agree,Instructor 2,108.0,105.0,109.2,106.8,1.2,3,109.0,105.0,107.4,110.6,1.6
56,Agree,Instructor 3,93.1,91.0,94.3,91.9,1.2,3,94.2,91.0,92.6,95.8,1.6
57,Strongly agree,Instructor 1,188.0,187.0,189.2,186.8,1.2,3,187.9,187.0,186.3,189.4,1.6
