,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,28.2,30.0,33.0,23.5,4.7,0,,,,,
1,Strongly disagree,Instructor 2,22.2,22.0,26.9,17.5,4.7,0,,,,,
2,Strongly disagree,Instructor 3,101.8,105.0,106.5,97.1,4.7,0,,,,,
3,Disagree,Instructor 1,10.8,8.0,15.6,6.1,4.7,0,,,,,
4,Disagree,Instructor 2,24.2,23.0,29.0,19.5,4.7,0,,,,,
5,Disagree,Instructor 3,68.1,67.0,72.8,63.4,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,28.5,37.0,33.2,23.8,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,63.9,65.0,68.6,59.2,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,200.4,193.0,205.1,195.7,4.7,0,,,,,
9,Agree,Instructor 1,58.3,54.0,63.1,53.6,4.7,0,,,,,
10,Agree,Instructor 2,87.7,83.0,92.4,83.0,4.7,0,,,,,
11,Agree,Instructor 3,135.4,143.0,140.1,130.7,4.7,0,,,,,
12,Strongly agree,Instructor 1,29.4,29.0,34.1,24.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,50.7,50.0,55.4,46.0,4.7,0,,,,,
14,Strongly agree,Instructor 3,90.9,91.0,95.6,86.2,4.7,0,,,,,
15,Strongly disagree,Instructor 1,28.8,30.0,31.2,26.5,2.4,1,28.2,30.0,23.5,33.0,4.7
16,Strongly disagree,Instructor 2,20.0,22.0,22.4,17.7,2.4,1,22.2,22.0,17.5,26.9,4.7
17,Strongly disagree,Instructor 3,101.4,105.0,103.8,99.0,2.4,1,101.8,105.0,97.1,106.5,4.7
18,Disagree,Instructor 1,10.4,8.0,12.7,8.0,2.4,1,10.8,8.0,6.1,15.6,4.7
19,Disagree,Instructor 2,22.7,23.0,25.1,20.4,2.4,1,24.2,23.0,19.5,29.0,4.7
20,Disagree,Instructor 3,66.0,67.0,68.4,63.6,2.4,1,68.1,67.0,63.4,72.8,4.7
21,Neither agree nor disagree,Instructor 1,33.0,37.0,35.4,30.6,2.4,1,28.5,37.0,23.8,33.2,4.7
22,Neither agree nor disagree,Instructor 2,61.4,65.0,63.8,59.1,2.4,1,63.9,65.0,59.2,68.6,4.7
23,Neither agree nor disagree,Instructor 3,196.9,193.0,199.2,194.5,2.4,1,200.4,193.0,195.7,205.1,4.7
24,Agree,Instructor 1,56.9,54.0,59.3,54.5,2.4,1,58.3,54.0,53.6,63.1,4.7
25,Agree,Instructor 2,82.9,83.0,85.3,80.6,2.4,1,87.7,83.0,83.0,92.4,4.7
26,Agree,Instructor 3,139.0,143.0,141.4,136.7,2.4,1,135.4,143.0,130.7,140.1,4.7
