,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,2.4,2.0,7.1,-2.4,4.7,0,,,,,
1,Emergency,10 - 19,5.8,4.0,10.5,1.1,4.7,0,,,,,
2,Emergency,20 - 29,2.2,4.0,6.9,-2.5,4.7,0,,,,,
3,Emergency,30 - 39,12.1,12.0,16.8,7.4,4.7,0,,,,,
4,Emergency,40 - 49,68.1,63.0,72.9,63.4,4.7,0,,,,,
5,Emergency,50 - 59,89.2,84.0,94.0,84.5,4.7,0,,,,,
6,Emergency,60 - 69,96.4,101.0,101.1,91.7,4.7,0,,,,,
7,Emergency,70 - 79,136.1,139.0,140.8,131.4,4.7,0,,,,,
8,Emergency,80 - 89,93.4,101.0,98.1,88.7,4.7,0,,,,,
9,Emergency,90 - 99,24.6,25.0,29.3,19.9,4.7,0,,,,,
10,Urgent,0 - 9,0.7,1.0,5.4,-4.0,4.7,0,,,,,
11,Urgent,10 - 19,3.2,2.0,7.9,-1.5,4.7,0,,,,,
12,Urgent,20 - 29,-1.0,1.0,3.8,-5.7,4.7,0,,,,,
13,Urgent,30 - 39,7.4,6.0,12.2,2.7,4.7,0,,,,,
14,Urgent,40 - 49,13.7,13.0,18.4,9.0,4.7,0,,,,,
15,Urgent,50 - 59,19.9,30.0,24.6,15.2,4.7,0,,,,,
16,Urgent,60 - 69,56.4,56.0,61.1,51.7,4.7,0,,,,,
17,Urgent,70 - 79,49.8,52.0,54.5,45.1,4.7,0,,,,,
18,Urgent,80 - 89,30.4,31.0,35.1,25.7,4.7,0,,,,,
19,Urgent,90 - 99,2.1,4.0,6.8,-2.6,4.7,0,,,,,
20,Elective,0 - 9,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
21,Elective,10 - 19,-2.9,1.0,1.9,-7.6,4.7,0,,,,,
22,Elective,20 - 29,1.3,1.0,6.0,-3.4,4.7,0,,,,,
23,Elective,30 - 39,13.7,11.0,18.5,9.0,4.7,0,,,,,
