,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,1.2,0.0,5.9,-3.5,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,214.0,214.0,218.8,209.3,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,90.7,86.0,95.4,86.0,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,49.6,53.0,54.3,44.9,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,32.1,28.0,36.8,27.3,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,13.3,11.0,18.0,8.6,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,9.3,8.0,14.1,4.6,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,17.4,5.0,22.1,12.7,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,0.8,3.0,5.5,-3.9,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,-6.6,3.0,-1.9,-11.3,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,14.1,13.0,18.8,9.3,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,2.1,0.0,6.8,-2.6,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,10.4,21.0,15.1,5.7,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,0.0,5.0,4.7,-4.7,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,1.3,3.0,6.0,-3.4,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,2.6,1.0,7.3,-2.2,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,4.3,0.0,9.0,-0.4,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,1.3,0.0,6.0,-3.5,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,2.7,1.0,7.4,-2.0,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,3.9,1.0,8.6,-0.8,4.7,0,,,,,
22,Widowed,$-9k-$-1k,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
23,Widowed,$0k-$49k,55.6,48.0,60.4,50.9,4.7,0,,,,,
24,Widowed,$50k-$99k,9.8,10.0,14.6,5.1,4.7,0,,,,,
25,Widowed,$100k-$149k,4.4,3.0,9.1,-0.4,4.7,0,,,,,
26,Widowed,$150k-$199k,-1.9,1.0,2.8,-6.6,4.7,0,,,,,
27,Widowed,$200k-$249k,3.2,0.0,7.9,-1.5,4.7,0,,,,,
28,Widowed,$250k-$299k,-0.5,1.0,4.2,-5.2,4.7,0,,,,,
29,Widowed,$300k-$349k,-1.8,0.0,2.9,-6.5,4.7,0,,,,,
30,Widowed,$350k-$399k,-1.7,0.0,3.0,-6.4,4.7,0,,,,,
