,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,56.3,59.0,61.0,51.6,4.7,0,,,,,
1,Strongly disagree,2,12.2,12.0,16.9,7.4,4.7,0,,,,,
2,Strongly disagree,3,24.4,24.0,29.1,19.6,4.7,0,,,,,
3,Strongly disagree,4,5.0,13.0,9.7,0.3,4.7,0,,,,,
4,Strongly disagree,5,25.9,27.0,30.6,21.2,4.7,0,,,,,
5,Disagree,1,40.6,39.0,45.3,35.9,4.7,0,,,,,
6,Disagree,2,11.3,15.0,16.0,6.6,4.7,0,,,,,
7,Disagree,3,12.5,19.0,17.2,7.7,4.7,0,,,,,
8,Disagree,4,32.1,25.0,36.8,27.4,4.7,0,,,,,
9,Disagree,5,8.5,8.0,13.2,3.7,4.7,0,,,,,
10,Neither agree nor disagree,1,72.0,70.0,76.7,67.3,4.7,0,,,,,
11,Neither agree nor disagree,2,19.2,23.0,23.9,14.5,4.7,0,,,,,
12,Neither agree nor disagree,3,95.7,98.0,100.4,91.0,4.7,0,,,,,
13,Neither agree nor disagree,4,60.2,62.0,64.9,55.5,4.7,0,,,,,
14,Neither agree nor disagree,5,42.7,41.0,47.4,38.0,4.7,0,,,,,
15,Agree,1,58.2,61.0,62.9,53.5,4.7,0,,,,,
16,Agree,2,30.6,31.0,35.3,25.9,4.7,0,,,,,
17,Agree,3,112.3,117.0,117.0,107.6,4.7,0,,,,,
18,Agree,4,75.0,69.0,79.7,70.3,4.7,0,,,,,
19,Agree,5,15.5,15.0,20.2,10.8,4.7,0,,,,,
20,Strongly agree,1,46.5,48.0,51.2,41.7,4.7,0,,,,,
21,Strongly agree,2,10.8,19.0,15.6,6.1,4.7,0,,,,,
22,Strongly agree,3,59.3,57.0,64.1,54.6,4.7,0,,,,,
23,Strongly agree,4,31.3,31.0,36.0,26.6,4.7,0,,,,,
24,Strongly agree,5,19.5,17.0,24.3,14.8,4.7,0,,,,,
25,Strongly disagree,1,58.3,59.0,60.7,55.9,2.4,1,56.3,59.0,51.6,61.0,4.7
26,Strongly disagree,2,12.9,12.0,15.2,10.5,2.4,1,12.2,12.0,7.4,16.9,4.7
27,Strongly disagree,3,23.1,24.0,25.5,20.8,2.4,1,24.4,24.0,19.6,29.1,4.7
28,Strongly disagree,4,2.7,13.0,5.1,0.4,2.4,1,5.0,13.0,0.3,9.7,4.7
29,Strongly disagree,5,27.8,27.0,30.1,25.4,2.4,1,25.9,27.0,21.2,30.6,4.7
30,Disagree,1,37.7,39.0,40.0,35.3,2.4,1,40.6,39.0,35.9,45.3,4.7
31,Disagree,2,13.4,15.0,15.8,11.1,2.4,1,11.3,15.0,6.6,16.0,4.7
32,Disagree,3,15.1,19.0,17.4,12.7,2.4,1,12.5,19.0,7.7,17.2,4.7
33,Disagree,4,27.3,25.0,29.6,24.9,2.4,1,32.1,25.0,27.4,36.8,4.7
34,Disagree,5,6.7,8.0,9.0,4.3,2.4,1,8.5,8.0,3.7,13.2,4.7
35,Neither agree nor disagree,1,76.1,70.0,78.5,73.7,2.4,1,72.0,70.0,67.3,76.7,4.7
36,Neither agree nor disagree,2,19.7,23.0,22.0,17.3,2.4,1,19.2,23.0,14.5,23.9,4.7
37,Neither agree nor disagree,3,96.3,98.0,98.6,93.9,2.4,1,95.7,98.0,91.0,100.4,4.7
